Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2024-03-31,48.89300,17.70900,31.18400,21.19400,-18.32300,39.51700,-8.33300,-31.30200,-39.63500,1.02200,-40.65700,-40.65700,,-40.65000,-6.45200,-8.33300,1.26520,0.04930,0.13010,63.78010,-17.04330,-17.04330,-81.06480,-83.14070,0.30740,2.03810,2.33020,38.62270,-95.65430,-95.65450,-25.56580,-90.94100,
2023-12-31,51.74400,20.62800,31.11600,18.95000,-15.23800,34.18800,-3.07200,-12.65400,-15.72600,-0.57200,-15.15400,-15.15400,-2.48800,-17.64600,-0.91100,-3.07200,1.43810,0.03320,0.08840,60.13450,-5.93690,-5.93690,-30.39190,-34.10250,0.27240,2.12680,1.76600,50.96240,-22.05050,-22.05050,-7.97820,-21.31940,
2023-09-30,44.89300,19.81000,25.08300,21.62500,-21.99900,43.62400,-18.54100,-3.03200,-21.57300,1.30200,-22.87500,-22.87500,,-22.87100,-16.37200,-18.54100,1.56200,0.03630,0.07750,55.87290,-41.30040,-41.30040,-48.05430,-50.94560,0.20810,3.13100,1.74350,51.62070,-26.32850,-26.32850,-10.60420,-25.37210,
2023-06-30,48.51500,22.51800,25.99700,24.80800,-24.45500,49.26300,-23.26600,-8.79400,-32.06000,-0.16900,-31.89100,-31.89100,,-31.87700,-20.62500,-23.26600,1.61950,0.03670,0.07430,53.58550,-47.95630,-47.95630,-66.08270,-65.70550,0.19490,2.09940,1.57570,57.11660,-30.13080,-30.13080,-12.81030,-29.02350,
2023-03-31,41.25000,16.34200,24.90800,30.50000,-22.83700,53.33700,-28.42900,-0.81200,-29.24100,0.10000,-29.34100,-29.34100,-2.42900,-31.76100,-25.55900,-28.42900,1.79190,0.03800,0.06810,60.38300,-68.91880,-68.91880,-70.88730,-76.99640,0.13740,1.42380,1.39820,64.36800,-20.54610,-20.54610,-9.77650,-19.76570,
2022-12-31,47.89500,19.29900,28.59600,36.76000,-16.36300,53.12300,-24.52700,0.15600,-24.37100,5.78400,-30.15500,-30.15500,,-55.23900,-21.53600,-24.52700,2.03570,0.04760,0.07950,59.70560,-51.21000,-51.21000,-50.88420,-115.33350,0.14500,1.68740,1.53210,58.74290,-17.30570,-17.30570,-9.13180,-16.48190,1.73180
2022-09-30,50.48700,18.09800,32.38900,39.00400,-36.53900,75.54300,-43.15400,-0.60800,-43.76200,0.79100,-44.55300,-44.55300,,-44.56200,-39.99800,-43.15400,2.62050,0.04120,0.06300,64.15310,-85.47550,-85.47550,-86.67980,-88.26430,0.13710,1.47790,1.75810,51.19200,-19.55760,-19.57410,-12.09640,-18.75110,
2022-06-30,57.32400,27.38200,29.94200,56.15100,-41.52100,97.67200,-67.73000,-0.96600,-68.69600,0.26800,-68.96400,-68.96400,,-68.97100,-64.86300,-67.73000,2.66720,0.03700,0.05500,52.23290,-118.15290,-118.15290,-119.83810,-120.31780,0.12700,1.52140,1.46860,61.28430,-24.50860,-24.52940,-15.27520,-23.60260,
2022-03-31,47.59400,20.34800,27.24600,57.15500,-36.47700,93.63200,-66.38600,-2.94700,-69.33300,0.13600,-69.46900,-69.46900,,-69.46000,-63.75400,-66.38600,3.20380,0.02130,0.03410,57.24670,-139.48390,-139.48390,-145.67590,-145.94280,0.09450,1.22700,1.71130,52.59230,-20.18830,-20.20540,-13.79260,-19.75790,
2021-12-31,62.04800,28.79000,33.25800,74.07400,-43.85600,117.93000,-84.67200,-0.10500,-84.77700,0.37100,-85.14800,-85.14800,,-85.13500,-82.05900,-84.67200,3.57760,0.02050,0.03040,53.60040,-136.46200,-136.46200,-136.63130,-137.20830,0.10730,2.62970,2.62990,34.22140,-20.63770,-20.63770,-14.72860,-20.21490,4.13090
2021-09-30,42.65700,17.12600,25.53100,58.34300,-31.23600,89.57900,-64.04800,-1.47800,-65.52600,0.09800,-65.62400,-65.62400,,-65.61000,-61.64700,-64.04800,1.54220,0.01730,0.02480,59.85180,-150.14650,-150.14650,-153.61140,-153.80830,0.06640,1.72470,2.40670,37.39500,-13.47930,-13.48990,-10.21580,-13.24600,
2021-06-30,40.24100,13.48500,26.75600,51.31700,-27.01400,78.33100,-51.57500,0.08200,-51.49300,-0.30300,-51.19000,-51.19000,,-51.18400,-49.23500,-51.57500,4.60740,0.01680,0.02360,66.48940,-128.16530,-128.16530,-127.96150,-127.19370,0.05730,1.18150,2.21200,40.68690,-9.42070,-9.42810,-7.29310,-9.26220,
2021-03-31,32.98800,8.40300,24.58500,39.91000,-25.27600,65.18600,-40.60100,15.93400,-24.66700,0.27600,-24.94300,-24.94300,,-24.93600,-38.29900,-40.60100,4.90680,0.01600,0.02280,74.52710,-123.07810,-123.07810,-74.77570,-75.59110,0.04380,0.86340,0.26890,334.72510,-4.20490,-4.20840,-3.31100,-4.13780,
2020-12-31,49.45550,16.39050,33.06510,49.49960,-31.17300,80.67260,-47.60760,-6.62380,-54.22140,1.42720,-55.64860,-55.64860,,-55.82030,-45.18630,-47.60760,2.75290,0.03430,0.04870,66.85820,-96.26340,-96.26340,-109.63660,-112.86960,0.11330,1.99370,2.79300,32.22350,-20.24350,-20.28340,-12.74890,-19.55010,
2020-09-30,39.30200,12.22700,27.07500,34.25300,-26.07100,60.32400,-33.24900,-4.08300,-37.34200,0.90500,-38.24700,-38.24700,,-38.17300,-31.02100,-33.24900,1.62730,0.07990,0.11980,68.88960,-84.59880,-84.59880,-95.01300,-97.12740,0.17190,1.36050,2.06730,43.53550,-41.88240,-42.15600,-16.72650,-38.53490,1.12630
2020-06-30,38.46300,12.84200,25.62100,42.14600,-24.82100,66.96700,-41.34600,-1.44500,-42.79100,0.52800,-43.31900,-43.31900,,-43.26100,-39.05260,-41.34600,1.87630,0.05820,0.09000,66.61210,-107.49550,-107.49550,-111.25240,-112.47430,0.15290,1.28490,1.91680,46.95370,-36.25980,-36.26720,-17.22490,-34.14800,
2020-03-31,32.27080,11.98080,20.29010,43.31720,-25.23350,68.55060,-48.26060,1.73970,-46.52080,0.12690,-46.64770,-46.64770,,-46.57380,-45.91300,-48.26060,2.35740,0.04790,0.07030,62.87430,-149.54880,-149.54880,-144.15770,-144.32180,0.11530,1.20130,1.37380,65.51240,-29.02850,-29.03640,-16.66410,-27.63790,
2019-12-31,54.89610,27.17650,27.71960,60.73190,-34.88340,95.61530,-67.89570,-2.17480,-70.07050,0.55830,-70.62870,-70.62870,,-70.52240,-65.18810,-67.89570,2.59760,0.03250,0.05030,50.28770,-123.68030,-123.68030,-127.64190,-128.46520,0.16490,2.42740,2.12590,42.33530,-34.54020,-34.54910,-21.21980,-33.41870,2.60790
2019-09-30,44.54340,24.39390,20.14940,50.68050,-30.19640,80.87690,-60.72740,4.99620,-55.73120,-0.23130,-55.49990,-55.49990,,-55.39760,-58.48390,-60.72740,3.23080,0.02670,0.04260,45.23550,-136.33320,-136.33320,-125.11670,-124.36780,0.11440,2.13420,1.89470,47.50180,-20.69900,-20.70410,-14.25060,-20.14560,
2019-06-30,44.09900,24.67630,19.42270,67.65130,-26.68710,94.33840,-74.91570,-1.04530,-75.96100,0.20340,-76.16450,-76.16450,,-76.06560,-72.94290,-74.91570,3.42190,0.02270,0.03580,44.04340,-169.88070,-169.88070,-172.25110,-172.48820,0.09800,1.56180,1.49770,60.09180,-24.01390,-24.01990,-16.92810,-23.46920,
2019-03-31,36.11840,18.40000,17.71850,45.54560,-23.85180,69.39730,-51.67890,-0.22720,-51.90610,0.11360,-52.01960,-52.01960,,-51.90610,-49.74800,-51.67890,1.66540,0.06900,0.11620,49.37110,-143.08170,-143.08170,-143.71070,-143.71070,0.16570,1.47270,1.69150,53.20760,-56.54320,-56.61310,-23.86660,-52.70430,
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
