Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2023-09-30,0.80090,-0.02250,-0.82340,-18.18020,-19.00360,0.04140,-19.04500,-19.04500,-19.04500,-0.82340,-0.82340,6.79000,6.79000,-2.80000,-2.80000,0.00710,-0.30010,57.70170,57.70170,-240.53610,57.70170,-4.86100
2023-06-30,0.46800,-0.05750,-0.52550,0.16510,-0.36040,0.02570,-0.38610,-0.38610,-0.38610,-0.52550,-0.52550,6.79000,6.79000,-0.06000,-0.06000,0.02250,-0.67830,2.75940,2.75940,-2.42020,2.75940,-2.06060
2023-03-31,0.52960,-0.08000,-0.60960,-0.98400,-1.59350,,-1.59350,-1.59350,-1.59350,-0.60960,-0.60960,6.79000,6.79000,-0.23000,-0.23000,0.04580,-0.67800,11.84670,11.84670,-9.98760,11.84670,-1.98100
2022-12-31,0.71870,-0.05000,-0.76870,-0.43180,-1.20050,-0.02760,-1.17290,-1.17290,-1.17290,-0.76870,-0.76870,6.79000,6.79000,0.83000,0.83000,0.02660,-0.70600,10.09780,10.09780,-3.70040,10.09780,-1.71070
2022-09-30,1.13890,-0.05000,-1.18890,0.47590,-0.71300,0.09840,-0.81140,-0.81140,-0.81140,-1.18890,-1.18890,6.79000,6.79000,-0.12000,-0.12000,0.03080,-0.73190,7.28570,7.28570,-2.57830,7.28570,-1.64020
2022-06-30,0.46300,-0.05000,-0.51300,1.51870,1.00570,0.04020,0.96540,0.96540,0.96540,-0.51300,-0.51300,6.79000,6.79000,0.14000,0.14000,0.20550,-0.71310,-9.97540,-9.97550,0.42440,-9.97540,-1.42540
2022-03-31,0.40130,-0.01250,-0.41380,3.82620,3.41240,,3.41240,3.41240,3.41240,-0.41380,-0.41380,6.79000,6.79000,-0.50000,-0.50000,0.01010,-0.52860,-33.08420,-33.08430,1.50810,-33.08420,-1.51900
2021-12-31,0.93120,-0.06000,-0.99120,1.72380,0.73270,,0.73270,0.73270,0.73270,-0.99120,-0.99120,6.52850,6.52850,0.16000,0.16000,0.07720,-0.07850,-7.83440,-7.83440,0.29210,-7.83440,-1.37730
2021-09-30,1.16740,-0.06000,-1.22740,0.17220,-1.05510,,-1.05510,-1.05510,-1.05510,-1.22740,-1.22740,6.79000,6.79000,-0.16000,-0.16000,0.21860,-0.06600,10.31270,10.31260,-0.42030,10.31270,-1.50680
2021-06-30,0.35390,-0.06010,-0.41400,0.85170,0.43770,,0.43770,0.43770,0.43770,-0.41400,-0.41400,6.79000,6.79000,0.06000,0.06000,0.59280,0.12350,8.75420,8.75420,0.17410,8.75420,0.60920
2021-03-31,0.08290,-0.02050,-0.10340,-1.71970,-1.82310,,-1.82310,-1.82310,-1.82310,-0.10340,-0.10340,5.72930,5.72930,-0.32000,-0.32000,1.76190,0.10160,-36.46230,-36.46190,-0.72640,-36.46230,0.60600
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,
