Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-03-31,11.37600,6.14100,,-17.51700,4.20600,-13.31100,-13.31100,-13.31100,-13.31100,-18.68800,-17.51700,24.08200,24.08200,-0.55000,-0.55000,62.17090,-3.75870,-3.75870,-3.70610,-3.75870,13.80820,-0.61970,-0.61970
2023-12-31,21.87600,-3.46400,,-12.47300,-0.39600,-12.86900,-12.86900,-12.86900,-12.86900,-10.22800,-12.47300,4.74700,4.74700,4.55000,4.55000,41.75810,-6.27630,-6.27630,-6.11950,-6.27630,10.08170,3.2376,3.2003
2023-09-30,0.26700,9.11400,0.53800,-8.93200,1.91700,-7.01500,-7.01500,-7.01500,-7.01500,-9.91400,-8.93200,4.27200,4.27200,-1.64000,-1.64000,18.63630,-4.90990,-4.90990,-4.64380,-4.90990,33.35840,-1.6645,-1.5107
2023-06-30,4.08800,6.02600,,-16.50200,1.76400,-14.73800,-14.73800,-14.73800,-14.73800,-18.26000,-16.50200,4.21720,4.21720,-3.50000,-3.50000,15.41420,-9.92910,-9.92910,-9.26210,-9.92910,34.88330,-3.3043,-3.4061
2023-03-31,6.13700,1.36500,,-7.50200,,-7.50200,-7.50200,-7.50200,-7.50200,-7.49600,-7.50200,0.90600,0.90600,-8.28000,-8.28000,16.58910,-4.63860,-4.63860,-4.34630,-4.63860,38.59010,-4.18430,-4.21080
2022-12-31,-24.83800,-12.11300,,36.95100,,35.66500,35.66500,35.66500,35.66500,35.96900,36.95100,0.87700,0.87700,-8.97000,-8.97000,6.09830,-180.74700,-180.74700,392.00920,-180.74700,-22.75890,3.9913,4.5841
2022-09-30,14.98100,4.84200,,-19.82300,0.81200,-19.01100,-19.01100,-19.01100,-19.01100,-19.78200,-19.82300,4.13800,4.13800,-4.59000,-4.59000,21.61070,-9.75590,-9.75590,-9.20430,-9.75590,46.97630,-3.1872,-3.2654
2022-06-30,13.18700,5.22800,,-18.41500,0.31900,-18.09600,-18.09600,-18.09600,-18.09600,-17.95900,-18.41500,4.10880,4.10880,-4.40000,-4.40000,28.92330,-8.58680,-8.58680,-8.19130,-8.58680,51.21810,-4.1951,-4.4601
2022-03-31,14.19600,4.21800,,-18.41400,0.15500,-18.25900,-18.25900,-18.25900,-18.25900,-17.92300,-18.41400,4.09800,4.09800,-4.50000,-4.50000,28.32210,-8.07810,-8.07810,-7.69620,-8.07810,55.09700,-3.97270,-4.29990
2021-12-31,11.02400,3.36400,,-14.38800,0.14700,-14.24100,-14.24100,-14.24100,-14.24100,-14.15100,-14.38800,2.91260,2.91260,3.90000,3.90000,30.86440,-5.86510,-5.86510,-5.66420,-5.86510,59.34760,-6.3138,-6.8437
2021-09-30,9.18300,3.87400,,-13.05700,0.11600,-12.94100,-12.94100,-12.94100,-12.94100,-12.81400,-13.05700,4.06690,4.06690,-3.20000,-3.20000,51.83200,-5.06200,-5.06200,-4.95210,-5.06200,62.79300,-0.0984,-0.2145
2021-06-30,7.57000,3.48700,,-11.05700,-0.29500,-11.35200,-11.35200,-11.35200,-11.35200,-10.81500,-11.05700,2.73730,2.73730,-4.10000,-4.10000,58.02830,-4.24610,-4.24610,-4.16110,-4.24610,65.89760,5.3166,5.3871
2021-03-31,6.46800,2.53700,,-9.00500,-0.29400,-9.29900,-9.29900,-9.29900,-9.29900,-8.67700,-9.00500,0.71610,0.71610,-13.00000,-13.00000,39.87800,20.01250,20.01250,-6.41750,20.01250,-64.50030,-12.63370,-12.89490
2020-12-31,4.38500,2.45000,,-6.83500,0.05600,-6.77900,-6.77900,-6.77900,-6.77900,-6.48400,-6.83500,0.66850,0.66850,-9.70000,-9.70000,44.28640,17.77070,17.77120,-4.43720,17.77070,-53.82670,-8.8621,-9.2659
2020-09-30,3.95600,2.18200,,-6.13800,-0.27900,-6.41700,-6.41700,-6.41700,-6.41700,-6.03900,-6.13800,0.68230,0.68230,-9.40000,-9.40000,,,,,,,-6.2205,-6.6539
2020-06-30,3.40200,1.33500,,-4.73700,0.07400,-4.66300,-4.66300,-4.66300,-4.66300,-4.68800,-4.73700,0.63970,0.63970,-7.30000,-7.30000,,,,,,,-5.4527,-5.9931
2020-03-31,3.53500,1.43900,,-4.97400,0.12600,-4.84800,-4.84800,-4.84800,-4.84800,-4.93100,-4.97400,0.63910,0.63910,-7.60000,-7.60000,,,,,,,-8.20370,-8.74980
2019-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
