Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,0.50900,0.50900,54.76200,12.50700,-66.76000,5.01100,-61.74900,0.24000,-61.98900,-61.98900,-61.98900,-66.85300,-66.76000,59.58000,59.58000,-1.04000,-1.04000,9.27250,100.00000,-13115.91000,-13115.91000,-12131.43000,-12178.58000,0.00110,-24.41840,-24.41840,-13.06820,-24.41840,4.34810,-0.1136,-0.1232
2023-06-30,0.44800,0.44800,55.67300,12.98300,-68.20800,3.89400,-64.31400,0.10900,-64.42300,-64.42300,-64.42300,-68.34700,-68.20800,45.12300,45.12300,-1.43000,-1.43000,9.06930,100.00000,-15225.00000,-15225.00000,-14355.80000,-14380.13000,0.00090,-24.91150,-24.91160,-13.40310,-24.91160,4.90350,-1.1602,-1.2456
2023-03-31,0.52200,0.52200,50.89400,13.00200,-63.37400,4.15200,-59.22200,0.08700,-59.30900,-59.30900,-59.30900,-64.19700,-63.37400,44.46700,44.46700,-1.33000,-1.33000,8.81820,100.00000,-12140.61000,-12140.61000,-11345.21000,-11361.88000,0.00110,-24.77090,-24.77090,-12.81690,-24.77090,5.54390,-1.14690,-1.23540
2022-12-31,0.37200,0.37200,45.01700,11.61900,-56.26400,3.68800,-52.57600,,-52.57600,-52.57600,-52.57600,-56.35300,-56.26400,41.54400,41.54400,-1.14000,-1.14000,9.81140,100.00000,-15124.73000,-15124.73000,-14133.33000,-14133.33000,0.00070,-18.30240,-18.30240,-10.23880,-18.30240,6.66780,-0.8677,-0.9428
2022-09-30,0.33100,0.33100,48.17900,12.66400,-60.51200,2.47500,-58.03700,,-58.03700,-58.03700,-58.03700,-59.92300,-60.51200,44.03500,44.03500,-1.32000,-1.32000,10.78960,100.00000,-18281.57000,-18281.57000,-17533.84000,-17533.84000,0.00060,-17.68480,-17.68480,-10.72900,-17.68480,7.66710,-0.9221,-0.9834
2022-06-30,0.36600,0.36600,47.21800,12.37200,-59.22400,0.62900,-58.59500,,-58.59500,-58.59500,-58.59500,-57.75100,-59.22400,43.91900,43.91900,-1.33000,-1.33000,14.56950,100.00000,-16181.42000,-16181.42000,-16009.56000,-16009.56000,0.00060,-15.60820,-15.60820,-10.06450,-15.60820,8.80150,2.7981,2.7768
2022-03-31,,,38.87500,13.08100,-51.95600,0.06200,-51.89400,,-51.89400,-51.89400,-51.89400,-50.56700,-51.95600,33.83900,33.83900,-1.53000,-1.53000,7.22770,,,,,,,-25.37370,-25.37370,-20.13420,-25.37370,6.28840,-1.14920,-1.23720
2021-12-31,,,39.16900,11.51100,-50.68000,0.03800,-50.64200,,-50.64200,-50.64200,-50.64200,-49.23900,-50.68000,33.48000,33.48000,-1.50000,-1.50000,8.66620,,,,,,,-20.67800,-20.67800,-16.98670,-20.67800,7.53630,-1.051,-1.1032
2021-09-30,,,34.19600,10.00300,-44.19900,0.03500,-44.16400,,-44.16400,-44.16400,-44.16400,-42.95000,-44.19900,33.43800,33.43800,-1.32000,-1.32000,13.12450,,,,,,,-15.46490,-15.46490,-13.29320,-15.46490,8.83150,-1.0256,-1.0923
2021-06-30,,,30.08900,8.64900,-38.73800,0.02400,-38.71400,,-38.71400,-38.71400,-38.71400,-37.18800,-38.73800,33.37200,33.37200,-1.16000,-1.16000,15.22200,,,,,,,-12.00600,-12.00600,-11.04020,-12.00600,10.05920,-0.8084,-0.9029
