Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,204.77400,189.42800,15.34600,7.44700,-33.47500,68.20600,-52.86000,1.34200,-51.51800,0.23100,-51.74900,-51.74900,-17.33100,-25.57600,-52.86000,91.35800,91.35800,-0.19000,-0.19000,1.16950,7.49410,-25.81380,-25.81380,-25.15850,-8.46350,0.24180,9.43700,9.53690,-24.51690,-50.32140,-6.11160,-24.51690,0.76850,0.2837,0.2645
2023-06-30,347.62900,331.81000,15.81900,7.56600,-55.30000,66.90700,-51.08800,0.72900,-50.35900,0.15200,-50.51100,-50.51100,-16.84800,-47.26700,-51.08800,89.83700,89.83700,-0.19000,-0.19000,1.15010,4.55050,-14.69610,-14.69610,-14.48640,-4.84650,0.33960,16.54200,5.44070,-19.43660,-40.30050,-4.93400,-19.43660,0.94650,-0.2966,-0.3185
2023-03-31,12.98600,,12.98600,6.70900,-44.41100,,-45.44800,0.60700,-44.84100,0.01800,-44.85900,-44.85900,-13.97600,-42.38500,-45.44800,81.87900,81.87900,-0.17000,-0.17000,3.34930,100.00000,-349.97690,-349.97690,-345.30260,-107.62360,0.03140,0.51140,175.99410,-15.04010,-19.67660,-10.85340,-15.04010,1.12170,-0.57700,-0.62240
2022-12-31,14.78700,,14.78700,8.41800,-55.43600,,-331.97500,3.07500,-328.90000,-2.47600,-326.42400,-326.42400,-98.94800,-50.58700,-331.97500,71.16800,71.16800,-1.84000,-1.82000,3.54360,105.51840,-2245.04600,-2245.04600,-2224.25000,-669.15530,0.03250,0.58430,154.02310,-97.12860,-123.46350,-71.66250,-97.12860,1.27100,-0.4264,-0.5614
2022-09-30,13.21300,0.35300,12.86000,7.79200,-45.86700,1607.76100,-1594.90100,1.74700,-1593.15400,-0.60600,-1592.54800,-1592.54800,-468.13200,-40.79900,-1594.90100,76.59200,76.59200,-6.11000,-6.11000,2.49070,97.32840,-12070.70000,-12070.70000,-12057.47000,-3542.96500,0.01500,0.59770,150.57440,-241.72550,-518.29960,-181.27130,-241.72550,2.49520,-0.3776,-0.4645
2022-06-30,14.03500,0.46300,13.57200,9.76900,-41.25600,57.12300,-43.55100,10.81000,-32.74100,-5.10000,-27.64100,-27.64100,-3.89700,-37.45300,-43.55100,71.22600,71.22600,-0.05000,-0.05000,2.42070,96.70110,-310.30280,-310.30280,-233.28110,-27.76630,0.00560,0.64250,140.07550,-1.24250,-8.64060,-1.10650,-1.24250,8.43370,-0.7202,-0.9154
2022-03-31,12.53200,,12.53200,9.43500,-45.73200,,-48.48600,2.02700,-46.45900,-3.13800,-43.32100,-43.32100,-7.12800,-42.63500,-48.48600,57.16400,258.61800,-0.12000,-0.14000,5.87200,100.00000,-386.89760,-386.89760,-370.72300,-56.87840,0.00530,0.64410,139.73990,-1.91240,-12.20050,-1.81720,-1.91240,8.60780,-0.12820,-0.14030
2021-12-31,13.66400,,13.66400,9.31600,-109.97900,,-111.57500,-79.14700,-203.53500,10.95300,-214.48800,-214.48800,-93.65600,-105.63600,-111.57500,54.01800,54.01800,-1.39200,-1.39200,6.29790,100.00000,-816.56180,-816.56190,-1489.57100,-685.42160,0.00570,0.75320,119.49500,-9.34930,-56.65540,-8.88410,-9.34930,8.70860,-2.4862,-2.7765
2021-09-30,9.14200,,9.14200,4.44900,-31.28500,,-29.86200,1.02700,-28.83500,0.01200,-28.84700,-28.84700,-28.84700,-25.46400,-29.86200,,,,0.00000,0.13730,100.00000,-326.64620,-326.64620,-315.41240,-315.54360,0.04390,,,68.46330,68.46330,-13.85280,68.46330,-8.12790,0,0
2021-06-30,8.48600,,8.48600,8.95600,-41.25600,,-44.76000,0.21700,-31.73000,0.16100,-31.89100,-31.89100,-31.89100,-41.76200,-44.76000,,,,0.00000,0.25500,100.00000,-527.45700,-527.45700,-373.90990,-375.80720,0.04070,,,-637.81990,-637.81990,-15.29980,-637.81990,0.50770,0.0676,0.3489
2021-03-31,8.14500,,8.14500,6.10900,-27.65200,,-28.41000,-0.38700,-28.79700,0.02300,-28.82000,-28.82000,-28.82000,-25.06800,-28.41000,14.41000,14.41000,-2.00000,-2.00000,0.39880,100.00000,-348.80290,-348.80290,-353.55430,-353.83670,0.03900,,,-576.39960,-576.40000,-13.81410,-576.39970,0.41750,-0.06760,-0.34890
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2020-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
