Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,1.18500,1.18500,14.65400,6.03400,-19.50300,2.16000,-17.34300,-17.34300,-17.34300,-17.34300,-19.83800,-19.50300,43.43800,43.43800,-0.40000,-0.40000,10.41120,100.00000,-1645.82300,-1645.82300,-1463.54400,-1463.54400,0.00550,-11.16430,-11.16430,-8.05400,-11.16430,3.52210,-0.3683,-0.3679
2023-06-30,2.00400,2.00400,15.17200,5.32200,-18.49000,1.37500,-17.11500,-17.11500,-17.11500,-17.11500,-18.85000,-18.49000,39.29300,39.29300,-0.44000,-0.44000,13.37830,100.00000,-922.65470,-922.65470,-854.04190,-854.04190,0.01170,-10.92210,-10.92210,-9.96430,-10.92210,3.70460,-0.4195,-0.4191
2023-03-31,5.31300,5.31300,15.55200,5.27600,-15.51500,1.29600,-14.21900,-14.21900,-14.21900,-14.21900,-15.81400,-15.51500,36.25700,36.25700,-0.39000,-0.39000,10.12030,100.00000,-292.01960,-292.01960,-267.62660,-267.62660,0.03490,-10.53090,-10.53090,-9.33000,-10.53090,3.72400,-0.54570,-0.54990
2022-12-31,5.45000,5.45000,15.64000,4.92500,-15.11500,1.01800,-14.09700,-14.09700,-14.09700,-14.09700,-14.95800,-15.11500,36.18800,36.18800,-0.38000,-0.38000,7.44130,100.00000,-277.33950,-277.33960,-258.66060,-258.66060,0.03160,-9.59180,-9.59180,-8.18360,-9.59180,4.05350,-0.4908,-0.4973
2022-09-30,6.40200,6.40200,18.85000,5.42800,-17.87600,0.53800,-17.33800,-17.33800,-17.33800,-17.33800,-17.62900,-17.87600,36.25700,36.25700,-0.48000,-0.48000,7.10770,100.00000,-279.22520,-279.22520,-270.82160,-270.82160,0.03360,-10.91900,-10.91900,-9.10280,-10.91900,4.37950,-0.4721,-0.5032
2022-06-30,0.38200,0.38200,15.48800,5.84500,-20.95100,0.46000,-20.49100,-20.49100,-20.49100,-20.49100,-20.77600,-20.95100,36.16100,36.16100,-0.57000,-0.57000,6.98410,100.00000,-5484.55500,-5484.55500,-5364.13600,-5364.13600,0.00180,-11.75160,-11.75160,-9.70290,-11.75160,4.80990,-0.5366,-0.5376
2022-03-31,3.38400,3.38400,14.34300,6.00300,-16.96200,0.12300,-16.83900,-16.83900,-16.83900,-16.83900,-16.74000,-16.96200,36.07500,36.07500,-0.47000,-0.47000,8.52910,100.00000,-501.24110,-501.24110,-497.60640,-497.60640,0.01490,-8.72690,-8.72690,-7.39370,-8.72690,5.34350,-0.54840,-0.54930
2021-12-31,20.21600,20.21600,12.33800,5.08700,2.79100,0.00600,2.79700,2.79700,2.79700,2.79700,2.95400,2.79100,27.98300,27.98300,2.05000,2.05000,8.69900,100.00000,13.80590,13.80590,13.83560,13.83560,0.08160,1.34550,1.34550,1.12840,1.34550,5.77840,-0.8458,-0.875
2021-09-30,3.74600,3.74600,13.37500,4.89300,-14.52200,0.00700,-14.51500,-14.51500,-14.51500,-14.51500,-14.37500,-14.52200,35.86100,35.86100,-0.40000,-0.40000,8.23840,100.00000,-387.66680,-387.66680,-387.48000,-387.48000,0.01430,-7.14100,-7.14100,-5.54630,-7.14100,5.66540,-0.5015,-0.5066
2021-06-30,3.54900,3.54900,11.37400,4.86200,-12.68700,0.00600,-12.68100,-12.68100,-12.68100,-12.68100,-12.54200,-12.68700,35.85300,35.85300,-0.35000,-0.35000,8.79780,100.00000,-357.48100,-357.48100,-357.31190,-357.31190,0.01270,-5.86380,-5.86380,-4.54800,-5.86380,6.03080,2.6149,2.8042
2021-03-31,3.47400,3.47400,10.02100,3.17300,-9.72000,0.00400,-9.71600,-9.71600,-9.71600,-9.71600,-9.63100,-9.72000,3.85000,3.85000,-2.52000,-2.52000,9.43640,100.00000,-279.79280,-279.79280,-279.67760,-279.67760,0.01180,-4.26810,-4.26810,-3.30860,-4.26810,73.50470,-3.42080,-3.63870
2020-12-31,0.06500,0.06500,31.28700,2.71400,-33.93600,,-26.05100,-26.05100,-26.05100,-26.05100,-33.86100,-33.93600,2.76500,2.76500,-9.15000,-9.15000,5.85800,5059.69200,-52209.23000,-52209.23000,-40078.46000,-40078.46000,0.00040,25.78080,25.78080,-15.46940,25.78080,-32.62770,-4.182,-4.4154
2020-09-30,2.82900,2.82900,7.21800,1.84400,-6.23300,0.01100,-6.22200,-6.22200,-6.22200,-6.22200,-6.62500,-6.23300,2.65900,2.65900,-2.34000,-2.34000,,100.00000,-220.32520,-220.32520,-219.93640,-219.93640,,,,,,,-2.8845,-2.8845
2020-06-30,3.07300,3.07300,6.33400,1.79800,-5.05900,0.02100,-5.03800,-5.03800,-5.03800,-5.03800,-4.51600,-5.05900,2.65900,2.65900,-1.89000,-1.89000,,100.00000,-164.62740,-164.62740,-163.94400,-163.94400,,,,,,,-2.8962,-2.8957
2020-03-31,3.22700,3.22700,7.89300,2.51000,-7.17600,0.23100,-6.94500,-6.94500,-6.94500,-6.94500,-7.10200,-7.17600,2.65600,2.65600,-2.62000,-2.62000,,100.00000,-222.37370,-222.37370,-215.21530,-215.21540,,,,,,,-3.71760,-3.76170
