Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,299.03500,70.18600,228.84900,2.80300,15.74400,213.10500,213.10500,48.91000,164.19500,164.19500,164.19500,227.04600,226.04600,160.06600,161.14600,1.03000,1.02000,0.14320,0.16710,71.26420,75.59180,71.26420,54.90830,0.04980,3.68380,3.68380,2.73630,3.15640,27.85840,0.9718,0.9718
2023-06-30,277.52200,47.81700,229.70500,2.64500,15.55800,214.14700,214.14700,46.12700,168.02000,168.02000,168.02000,228.78000,227.06000,161.31800,162.17100,1.04000,1.04000,0.14530,0.17000,77.16400,81.81690,77.16400,60.54300,0.04680,3.83970,3.83970,2.83630,3.28160,27.30940,1.0396,1.0396
2023-03-31,280.93900,40.72100,240.21800,2.64000,15.70500,224.51300,224.51300,48.52500,175.98800,175.98800,175.98800,240.19100,237.57800,162.44200,163.17900,1.08000,1.08000,0.14750,0.17300,79.91520,84.56570,79.91520,62.64280,0.04810,4.09600,4.09600,3.01230,3.49180,26.53250,0.73130,0.73130
2022-12-31,276.84200,78.05200,198.79010,2.74700,16.00500,182.78500,182.78500,38.97900,143.80600,143.80600,143.80600,198.23800,196.04300,162.83800,163.29400,0.88000,0.88000,0.15340,0.18110,66.02500,70.81400,66.02500,51.94520,0.04850,3.50670,3.50670,2.51890,2.96890,25.19310,0.9715,0.9715
2022-09-30,275.07500,14.21400,260.86100,3.33800,16.21700,244.64400,244.64400,53.65800,190.98600,190.98600,190.98600,261.00700,257.52300,162.84300,163.37600,1.17000,1.17000,0.15270,0.18030,88.93720,93.61920,88.93720,69.43050,0.04810,4.63900,4.63900,3.33730,3.93040,25.28200,0.6124,0.6124
2022-06-30,273.54100,-3.36200,276.90300,3.23000,16.01600,260.88700,260.88700,56.15200,204.73500,204.73500,204.73500,276.93300,273.67300,162.84200,163.22500,1.26000,1.25000,0.15380,0.18170,95.37400,100.04830,95.37400,74.84620,0.04750,5.01740,5.01740,3.55420,4.24580,25.05800,0.8622,0.8622
2022-03-31,269.58800,43.81600,225.77200,3.09000,15.86600,209.90600,209.90600,45.27600,164.63000,164.63000,164.63000,225.39900,222.68200,162.84100,163.05400,1.01000,1.01000,0.15470,0.18300,77.86180,82.60090,77.86180,61.06730,0.04650,4.06640,4.06640,2.84220,3.43720,24.86220,0.98640,0.98640
2021-12-31,272.84200,61.60200,211.24010,3.60000,16.37100,194.86900,194.86900,41.33500,153.53400,153.53400,153.53400,210.21200,207.63990,162.84000,162.87900,0.95000,0.95000,0.15280,0.18030,71.42190,76.10260,71.42190,56.27210,0.04650,3.73970,3.73970,2.61750,3.16830,25.21200,0.9882,0.9882
2021-09-30,280.30900,89.27500,191.03400,3.66900,16.42500,174.60900,174.60900,37.40100,137.20800,137.20800,137.20800,189.35800,187.36500,162.84000,162.85200,0.84000,0.84000,0.14970,0.17610,62.29160,66.84230,62.29160,48.94880,0.04680,3.26580,3.26580,2.29010,2.77680,25.80070,0.9086,0.9086
2021-06-30,276.12100,93.05300,183.06800,3.59700,16.34200,166.72600,166.72600,35.91400,130.81200,130.81200,130.81200,181.83200,179.47100,162.84000,162.84000,0.80000,0.80000,0.15310,0.18080,60.38150,64.99720,60.38150,47.37490,0.04710,3.19850,3.19850,2.23150,2.70880,25.11580,0.8356,0.8356
2021-03-31,288.58300,112.99600,175.58700,3.83800,16.57500,159.01200,159.01200,33.88100,125.13100,125.13100,125.13100,173.29100,171.74900,162.84000,162.84000,0.77000,0.77000,,,55.10100,59.51460,55.10100,43.36050,,,,,,,0.78010,0.78010
2020-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,-3.4423,-3.4423
2020-09-30,284.33600,99.46900,184.86700,3.87300,9.38500,175.48200,175.48200,37.46700,138.01500,138.01500,138.01500,184.03600,180.99400,162.84000,162.84000,0.85000,0.85000,,,61.71640,63.65500,61.71640,48.53940,,,,,,,3.4423,3.4423
2020-06-30,,,,,,,0.00000,0.00000,,0.00000,,,,,,,0.00000,,,,,,,,,,,,,0,0
2019-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
