Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,1911.04600,961.94900,949.09700,-634.44700,748.53800,200.55900,-21.74900,178.81000,45.47100,133.33900,133.33900,133.33900,314.65000,200.55900,85.84900,86.85200,1.55000,1.54000,1.23020,0.37660,0.61400,49.66380,10.49470,10.49470,9.35670,6.97730,0.31560,35.30480,1.92510,46.75120,5.08380,22.01980,2.20190,3.16940,30.52220,3.2249,2.0341
2023-06-30,1791.26600,897.70500,893.56100,-592.97000,701.14400,192.41700,-18.73000,173.68700,45.45300,128.23400,128.23400,128.23400,300.59100,192.41700,86.13500,87.12500,1.49000,1.47000,1.40570,0.33900,0.52490,49.88430,10.74200,10.74200,9.69630,7.15880,0.32620,37.95310,1.93030,46.62600,5.03520,14.71680,2.33520,3.32820,29.68190,2.3239,1.5761
2023-03-31,1850.17700,940.28000,909.89700,-639.44000,743.49500,166.40190,-17.12900,149.27300,37.35500,111.91800,111.91800,111.91800,270.45680,166.40190,86.58200,87.91400,1.29000,1.27000,1.32420,0.33410,0.51480,49.17890,8.99380,8.99380,8.06800,6.04900,0.33610,43.61230,1.91950,46.88840,4.42070,12.77590,2.03320,2.94370,29.17630,2.64050,2.05430
2022-12-31,1956.69400,1034.15600,922.53830,-603.67930,705.67800,216.86010,-16.96300,199.89700,46.40300,153.49400,153.49400,153.49400,318.85910,216.86010,89.36000,89.36000,1.77000,1.73000,1.30710,0.34170,0.53420,47.14780,11.08300,11.08300,10.21610,7.84460,0.35540,42.76730,1.87510,47.99740,6.23180,17.62350,2.78780,4.10220,28.46160,2.8398,1.7768
2022-09-30,2241.96100,1158.50300,1083.45800,-658.45900,765.01600,318.44190,-21.70800,296.73400,51.54400,245.19000,245.19000,245.19000,424.99890,318.44190,88.22600,90.03400,2.78000,2.72000,1.26900,0.35380,0.56270,48.32640,14.20370,14.20370,13.23550,10.93640,0.40760,49.25610,1.96940,45.69870,10.53360,32.30330,4.45740,6.80650,26.70020,3.8588,3.2708
2022-06-30,2422.31700,1259.12400,1163.19300,-660.41800,772.22300,390.97000,-21.53700,369.43300,92.60800,276.82500,276.82500,276.82500,502.77500,390.97000,90.64700,92.34300,3.05000,3.00000,1.21490,0.41380,0.72210,48.01990,16.14030,16.14030,15.25120,11.42810,0.39840,46.28110,1.93700,46.46260,11.63960,48.01570,4.55280,6.82280,26.69400,2.709,2.3708
2022-03-31,2191.51900,1140.40800,1051.11100,-721.11300,831.34500,219.76610,-20.18900,199.57700,51.85400,147.72300,147.72300,147.72300,329.99810,219.76610,91.97000,93.93800,1.61000,1.57000,1.18660,0.42160,0.74690,47.96270,10.02800,10.02800,9.10680,6.74070,0.36930,44.30660,1.86170,48.34220,6.48330,33.22080,2.48950,3.74980,24.87500,1.46580,0.97060
2021-12-31,2140.91400,1108.77600,1032.13800,-707.02210,817.15900,214.97950,-21.44100,193.53800,49.39900,144.13900,144.13900,144.13900,325.11650,214.97950,93.05400,93.05400,1.55000,1.51000,0.82610,0.35010,0.69600,48.21020,10.04150,10.04150,9.04000,6.73260,0.36390,45.43790,2.01570,44.64880,6.23880,27.85650,2.44980,4.05470,25.07090,2.2083,1.3348
2021-09-30,2094.00000,1078.23200,1015.76800,-717.69500,824.18400,191.58400,-20.53000,171.05400,39.44000,131.61400,131.61400,131.61400,298.07300,191.58400,92.98200,95.22400,1.42000,1.38000,0.85010,0.35650,0.72550,48.50850,9.14920,9.14920,8.16880,6.28530,0.37820,40.61600,2.04280,44.05820,6.21920,38.09910,2.37730,4.00190,22.74380,2.1136,1.652
2021-06-30,1836.70800,962.52500,874.18300,-305.24600,403.26200,470.92100,-16.61200,454.30900,42.54400,411.76500,411.76500,411.76500,568.93700,470.92100,93.19200,93.19200,4.42000,4.32000,0.86660,0.38860,0.81960,47.59510,25.63940,25.63940,24.73500,22.41860,0.33270,37.89020,1.88640,47.70920,20.37870,172.79190,7.45820,12.45990,,3.2451,2.9041
2021-03-31,1148.80700,665.92000,482.88700,-302.75200,381.14200,101.74500,-14.43500,87.31000,20.42300,66.88700,66.88700,66.88700,180.13500,101.74500,93.38200,95.50400,0.72000,0.70000,1.57160,0.40110,0.69020,42.03380,8.85660,8.85660,7.60010,5.82230,0.27150,74.22200,1.93270,46.56760,3.71470,147.51300,1.58080,2.22480,19.31230,1.62500,1.41170
2020-12-31,1122.00600,636.88310,485.12300,-289.07500,368.00290,117.12020,-15.38200,101.74000,15.41200,86.32800,86.32800,86.32800,196.04820,117.12020,89.11300,90.93500,0.94000,0.91000,0.99740,0.31680,0.48780,43.23710,10.43850,10.43850,9.06770,7.69410,0.29160,72.69530,1.85310,48.56760,4.82650,210.81910,2.24390,3.29730,19.15040,1.9045,1.4895
2020-09-30,936.12400,495.99500,440.12900,-248.82000,323.09000,117.03900,-11.53200,105.50700,22.40600,83.10100,83.10100,83.10100,191.30900,117.03900,90.95400,92.65100,0.91000,0.90000,1.16970,0.31530,0.56820,47.01610,12.50250,12.50250,11.27060,8.87710,0.25340,60.84450,1.96850,45.72000,4.91820,45.03410,2.24990,3.36770,18.09800,1.369,1.0832
2020-06-30,798.49500,413.62200,384.87300,-217.14800,289.79500,95.07800,-12.65400,82.42400,31.96600,50.45800,50.45800,50.45800,167.72500,95.07800,87.41100,88.63900,0.58000,0.57000,0.74600,0.35440,0.67590,48.19980,11.90720,11.90720,10.32240,6.31910,0.24240,50.81370,1.87570,47.98170,3.68750,-60.18330,1.53200,2.38060,,1.8538,1.7503
2020-03-31,924.50900,505.33500,419.17400,-258.46000,331.84400,87.33000,-14.34200,72.98600,17.19800,55.78800,55.78800,55.78800,160.71400,87.33000,84.65800,86.25600,0.66000,0.65000,,,,45.34020,9.44610,9.44610,7.89460,6.03430,,,,,,,,,,1.59030,1.39830
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0,0
