Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,0.35700,,0.35700,1.87200,1.08300,,-2.59800,0.02400,-2.57400,-2.57400,-2.57400,,-2.57400,-2.57700,-2.59800,21.61600,21.61600,-0.12000,-0.12000,0.63540,,,100.00000,-727.73110,-727.73110,-721.00840,-721.00840,0.09530,,3.43270,26.21850,390.00680,389.99990,-68.69500,390.00000,-0.03050,-0.0956,-0.0956
2023-06-30,0.04300,,0.04300,2.31400,1.18100,,-3.45200,0.02800,-3.42400,-3.42400,-3.42400,,-3.42400,-3.43100,-3.45200,20.38500,20.38500,-0.17000,-0.17000,1.28600,,,100.00000,-8027.90700,-8027.90700,-7962.79100,-7962.79100,0.00670,,0.37390,240.69770,-209.41970,-209.41900,-53.59210,-209.41900,0.07570,-0.1533,-0.1533
2023-03-31,0.06400,,0.06400,2.38400,1.19000,,-3.51000,0.00900,-3.50100,-3.50100,-3.50100,,-3.50100,-3.48800,-3.51000,20.17720,20.17720,-0.17000,-0.17000,1.32230,,,100.00000,-5484.37500,-5484.37500,-5470.31200,-5470.31200,0.00900,,0.41830,215.15620,-184.26230,-184.26320,-49.11620,-184.26320,0.09410,-0.12690,-0.12740
2022-12-31,0.10600,,0.10600,2.20000,0.92400,,-3.01800,-0.01000,-3.02800,-3.02800,-3.02800,,-3.02800,-2.99700,-3.01800,17.72100,17.72100,-0.17000,-0.17000,2.19360,,,100.00000,-2847.17000,-2847.16900,-2856.60300,-2856.60300,0.01080,,0.52740,170.66040,-61.89700,-61.89700,-30.92000,-61.89700,0.24370,-0.1721,-0.1722
2022-09-30,0.21200,,0.21200,2.14400,1.12800,,-3.06000,0.00300,-3.05700,-3.05700,-3.05700,,-3.05700,-3.03100,-3.06000,17.84500,17.84500,-0.17000,-0.17000,1.94190,,,100.00000,-1443.39600,-1443.39600,-1441.98100,-1441.98100,0.02310,,0.70670,127.35850,-74.61560,-74.61560,-33.30430,-74.61560,0.22960,-0.109,-0.1098
2022-06-30,0.97400,,0.97400,2.30400,1.16600,,-2.49600,-0.00100,-2.49700,-2.49700,-2.49700,,-2.49700,-2.48000,-2.49600,17.65200,17.65200,-0.14000,-0.14000,2.99670,,,100.00000,-256.26280,-256.26280,-256.36550,-256.36550,0.08650,,4.61610,19.49690,-37.08040,-37.08050,-22.16400,-37.08050,0.37920,-0.1442,-0.1455
2022-03-31,0.06000,,0.06000,2.18600,1.20100,,-3.32700,0.00200,-3.32500,-3.32500,-3.32500,,-3.32500,-3.31100,-3.32700,17.06610,17.06610,-0.19000,-0.19000,2.72450,,,100.00000,-5545.00000,-5545.00000,-5541.66700,-5541.66700,0.00470,,0.18400,489.00000,-45.12150,-45.12150,-25.89560,-45.12150,0.43680,-0.17070,-0.17240
2021-12-31,0.07900,,0.07900,2.11500,1.42500,,-3.46100,0.00200,-3.45900,-3.45900,-3.45900,,-3.46100,-3.44600,-3.46100,16.91800,16.91800,-0.21000,-0.21000,3.63170,,,100.00000,-4381.01200,-4381.01100,-4378.48000,-4381.01200,0.00500,,0.53740,167.46840,-33.33980,-33.33980,-22.00660,-33.33980,0.61500,-0.1796,-0.1821
2021-09-30,0.82100,,0.82100,2.24000,1.28900,,-2.70800,0.00200,-2.70600,-2.70600,-2.70600,,-2.70600,-2.69300,-2.70800,17.06610,17.06610,-0.16000,-0.16000,4.34050,,,100.00000,-329.84170,-329.84170,-329.59810,-329.59810,0.04740,,1.08030,83.31300,-20.17600,-20.17600,-15.61450,-20.17600,0.79500,-0.1546,-0.1558
2021-06-30,0.06900,,0.06900,2.36200,1.19600,,-3.48900,,-3.48900,-3.48900,-3.48900,,-3.48700,-3.60800,-3.48900,17.04740,17.04740,-0.20000,-0.20000,4.34350,,,100.00000,-5056.52200,-5056.52200,-5056.52200,-5053.62300,0.00340,,0.08720,1031.73900,-22.26120,-22.26120,-17.25690,-22.26120,0.92900,-0.1649,-0.1664
2021-03-31,0.04600,,0.04600,1.84100,1.17700,,-2.97200,0.00300,-2.96900,-2.96900,-2.96900,,-2.96900,-2.82300,-2.97200,16.56900,16.56900,-0.18000,-0.18000,4.77430,,,100.00000,-6460.87000,-6460.87000,-6454.34800,-6454.34800,0.00200,,0.05660,1590.65200,-15.99510,-15.99500,-12.73810,-15.99500,1.10530,-0.11360,-0.11530
2020-12-31,0.04600,,0.04600,2.32500,1.21900,,-3.49800,0.50900,-2.98900,-2.98900,-2.98900,,-2.98900,-3.48200,-3.49800,10.11900,10.11900,-0.05000,-0.05000,5.33380,,,100.00000,-7604.35000,-7604.35000,-6497.82800,-6497.82800,0.00200,,0.05410,1663.04400,-15.58720,-15.58720,-12.76040,-15.58720,1.17670,-0.5127,-0.5133
2020-09-30,0.03400,,0.03400,2.47400,1.40800,,-3.84800,,-3.84800,-3.84800,-3.84800,,-3.84800,-4.07300,-3.84800,12.61800,12.61800,-0.30000,-0.30000,1.98840,0.05190,0.12380,100.00000,-11317.65000,-11317.65000,-11317.65000,-11317.65000,0.00360,,0.03190,2821.76400,-93.55700,-93.55700,-40.49670,-88.70450,0.33090,-0.0165,-0.0178
2020-06-30,0.02700,,0.02700,2.22400,1.37700,,-3.57400,0.00100,-3.57300,-3.57300,-3.57300,,-3.57300,-3.43700,-3.57400,7.71060,7.71060,-0.46000,-0.46000,2.65790,0.03710,0.06950,100.00000,-13237.04000,-13237.04000,-13233.33000,-13233.33000,0.00210,,0.03680,2443.33300,-49.00560,-49.00560,-27.21660,-47.18700,0.58680,-0.2539,-0.2544
2020-03-31,0.03800,0.00400,0.03400,2.78600,1.85700,4.64300,-4.60900,0.01500,-4.59400,-4.59400,-4.59400,,-4.59400,-4.46900,-4.60900,6.83200,6.83200,-0.67000,-0.67000,0.71370,,,89.47370,-12128.95000,-12128.95000,-12089.47000,-12089.47000,0.00870,,0.21230,423.94740,358.06780,358.06700,-104.79020,358.06700,-0.18730,-0.43810,-0.43880
2019-12-31,0.21400,0.03700,0.17700,2.17000,1.54400,3.71400,-3.53700,0.03500,-3.50200,-3.50200,-3.50200,,-3.50200,-3.61600,-3.53700,5.64430,5.64430,-0.35000,-0.35000,1.59330,,,82.71030,-1652.80400,-1652.80400,-1636.44900,-1636.44900,0.02790,9.25000,1.45580,61.82240,-147.76360,-147.76370,-45.61090,-147.76370,0.34720,-0.6471,-0.6491
2019-09-30,0.19400,0.02400,0.17000,2.00700,1.39000,3.39700,-3.22700,-0.56500,-3.79200,-3.79200,-3.79200,,-3.79200,-3.29900,-3.22700,6.03070,6.03070,-0.63000,-0.63000,2.28410,,,87.62890,-1663.40200,-1663.40200,-1954.63900,-1954.63900,0.01820,0.53330,1.88350,47.78350,-73.00730,-73.00730,-35.50230,-73.00730,0.76100,-0.0533,-0.0515
2019-06-30,0.08600,0.19100,-0.10500,2.21900,1.43800,3.65700,-3.76200,0.01200,-3.75000,-3.75000,-3.75000,,-3.75000,-3.62800,-3.76200,4.84780,4.84780,-0.77000,-0.77000,0.28330,,,-122.09300,-4374.41800,-4374.41800,-4360.46500,-4360.46500,0.03170,38.20000,0.42160,213.48840,167.71020,167.71020,-138.07070,167.71020,-0.46130,-0.3928,-0.4054
2019-03-31,0.21600,0.10600,0.11000,2.16600,1.63100,3.79700,-3.68700,0.02200,-3.66500,-3.66500,-3.66500,,-3.66500,-3.55900,-3.68700,4.24850,4.24850,-0.86000,-0.86000,1.06170,,,50.92590,-1706.94400,-1706.94400,-1696.75900,-1696.75900,0.04190,0.89830,0.75260,119.58330,-448.04360,-448.04410,-71.06850,-448.04400,0.16870,-0.58020,-0.59320
2018-12-31,0.10300,0.11600,-0.01300,2.20500,1.44200,3.64700,-3.66000,0.01800,-3.64200,-3.64200,-3.64200,,-3.64200,-3.63800,-3.66000,4.26400,4.26400,-0.87990,-0.87990,2.44030,,,-12.62140,-3553.39700,-3553.39800,-3535.92300,-3535.92300,0.01610,0.82270,0.37590,239.41740,-96.04430,-96.04430,-56.75550,-96.04430,0.78250,-0.7565,-0.76
2018-09-30,0.08400,0.10900,-0.02500,2.26200,1.28300,3.54500,-3.57000,0.02600,-3.54400,-3.54400,-3.54400,,-3.54400,-3.54800,-3.57000,4.25310,4.25310,-0.83000,-0.83000,2.11220,,,-29.76190,-4250.00000,-4250.00000,-4219.04700,-4219.04700,0.01510,0.81340,0.49410,182.14290,-120.38040,-120.38040,-63.78690,-120.38040,0.69230,-0.4713,-0.4725
2018-06-30,0.23900,0.13500,0.10400,2.03100,1.32500,3.35600,-3.25200,0.03500,-3.21700,-3.21700,-3.21700,,-3.21700,-3.23000,-3.25200,4.24970,4.24970,-0.76000,-0.76000,4.09180,,,43.51460,-1360.66900,-1360.66900,-1346.02500,-1346.02500,0.03120,0.99260,1.25130,71.92470,-55.87010,-55.87010,-41.99190,-55.87010,1.35400,-0.6534,-0.663
