Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,1.56170,1.58650,-0.02480,0.30180,-0.41090,0.71550,-0.74030,0.29450,-0.44580,-0.44580,-0.44580,-0.44580,-0.50310,-0.74030,3.43710,3.43710,-0.13000,-0.13000,0.79790,0.47780,3.37640,-1.58800,-47.40300,-47.40300,-28.54700,-28.54700,0.21570,0.79700,10.21010,8.81480,-92.43610,-92.43590,-6.15750,-48.27460,0.08080,-0.2405,-0.2725
2023-06-30,1.65560,1.57450,0.08100,0.46690,-0.66270,1.15730,-1.07630,-0.37550,-1.45170,-1.45170,-1.45170,-1.45170,-0.82420,-1.07630,2.36580,2.36580,-0.61000,-0.61000,0.74000,1.04540,-269.38280,4.89350,-65.00830,-65.00830,-87.68840,-87.68840,0.23580,0.49980,6.32920,14.21990,9240.18000,9239.78500,-20.67330,-419.04740,-0.00580,0.168,0.1706
2023-03-31,1.89840,1.61410,0.28440,0.53180,-0.70010,1.23450,-0.95020,-1.00120,-1.95140,-1.95140,-1.95140,-1.95140,-0.67390,-0.95020,1.68880,1.68880,-1.20000,-1.20000,0.80290,0.17260,11.22240,14.97870,-50.05210,-50.05210,-102.78980,-102.78980,0.23610,0.45940,1.81610,49.55700,-407.18760,-407.18840,-24.26420,-336.89120,0.21890,-0.83300,-0.84210
2022-12-31,2.05480,1.98780,0.06700,0.53420,-5.64090,6.33310,-6.26610,-0.69970,-6.96580,-6.96580,-6.96580,-6.96580,-4.91930,-6.26610,1.25790,1.25790,-5.43000,-5.43000,0.68400,-0.25110,-5.20830,3.25970,-304.95450,-304.95450,-339.00450,-339.00450,0.23680,0.41340,2.52610,35.62790,559.17720,559.17760,-80.26530,699.57230,-0.93100,0.3773,0.2613
2022-09-30,2.42920,3.97370,-1.54450,0.35490,-1.31600,1.82240,-3.36690,-0.37120,-3.73810,-3.73810,-3.73810,-3.73810,-2.21170,-3.36690,1.25850,1.25850,-2.97000,-2.97000,1.05560,0.19180,1.27600,-63.57910,-138.59960,-138.59960,-153.88180,-153.88180,0.14410,0.64940,3.14590,28.60900,-70.18640,-190.88030,-22.17730,-56.72520,4.17360,-0.0463,-0.0859
2022-06-30,2.95890,2.62110,0.33780,0.59250,-0.76730,1.47000,-1.13220,-0.30500,-1.43720,-1.43720,-1.43720,-1.43720,-0.76460,-1.13220,1.25130,1.25130,-1.20000,-1.20000,1.31390,0.15080,1.06110,11.41500,-38.26470,-38.26470,-48.57310,-48.57310,0.14370,0.46070,2.36480,38.05830,-16.60390,-32.49240,-6.98160,-14.09970,6.90700,-0.7277,-0.7472
2022-03-31,5.32430,4.83660,0.48770,0.57540,-0.59650,1.33650,-0.84880,-0.20510,-1.05390,-1.05390,-1.05390,-1.05390,-0.51120,-0.84880,1.21520,1.21520,-0.80000,-0.80000,1.70440,0.22380,0.84950,9.16060,-15.94160,-15.94160,-19.79350,-19.79350,0.26030,1.59040,1.38130,65.15400,-10.84040,-19.36120,-5.15270,-8.41430,7.78230,-2.48010,-2.54090
2021-12-31,1.63130,1.18080,0.45050,0.79870,-0.99040,1.93080,-1.48030,-0.04800,-1.52840,-1.52840,-1.52840,-1.52840,-1.33650,-1.48030,1.08540,1.08540,-1.20000,-1.20000,1.41810,0.02260,0.45010,27.61710,-90.74680,-90.74680,-93.69050,-93.69050,0.10230,0.55710,1.32500,67.92600,-17.15910,-29.68360,-9.58490,-16.77070,7.22050,-3.585,-3.5252
2021-09-30,3.72670,3.05650,0.67020,0.44340,-0.57580,1.16240,-0.49220,0.33040,-0.16180,-0.16180,-0.16180,-0.16180,-0.34900,-0.49220,1.15910,1.15910,-0.20000,-0.20000,0.85870,0.07750,0.66190,17.98490,-13.20620,-13.20620,-4.34130,-4.34130,0.31290,1.59980,4.93750,18.22790,-2.91450,-12.05030,-1.35840,-2.68850,4.75410,-1.1831,-1.2271
2021-06-30,2.12940,1.55950,0.56990,0.24250,-0.63860,0.93700,-0.36710,-0.07010,-0.43710,-0.43710,-0.43710,-0.43710,-0.31120,-0.36710,0.98790,0.98790,-0.40000,-0.40000,0.79490,0.13100,0.84800,26.76350,-17.23790,-17.23790,-20.52830,-20.52830,0.17950,2.67600,3.48880,25.79710,-8.10180,-69.28600,-3.68430,-7.04030,4.66750,-0.1567,-0.1567
2021-03-31,2.48590,2.18310,0.30280,0.38540,-0.31740,0.74690,-0.44410,-0.03400,-0.47810,-0.47810,-0.47810,-0.50640,-0.40000,-0.44410,0.97970,0.97970,-0.60000,-0.60000,0.53690,4.26410,-10.33480,12.17990,-17.86430,-17.86430,-19.23270,-20.36950,0.41100,3.60460,3.46150,26.00060,128.77820,17.45180,-7.90490,-420.35180,-0.37820,0.47220,0.47220
2020-12-31,2.69450,2.15880,0.53570,0.34500,-0.72680,0.99940,-0.46370,0.37030,-0.09340,-0.09340,-0.09340,-0.12170,-0.41180,-0.46370,0.91290,0.91290,,0.00000,0.65180,1.03980,-242.76830,19.87950,-17.20950,-17.20950,-3.46610,-4.51480,0.34450,1.17800,2.48920,36.15590,473.52400,3.84530,-1.19400,-18.85670,-0.02010,0.7945,1.2288
2020-09-30,3.98020,3.43380,0.54640,0.29590,-0.30750,0.71320,-0.16680,0.16740,0.00050,0.00050,0.00050,-0.02770,-0.18900,-0.16680,0.93510,0.93510,0.00000,0.00000,0.54360,-0.55510,-4.17860,13.72720,-4.19120,-4.19120,0.01350,-0.69650,0.42440,1.61590,2.79330,32.22010,-0.03150,-0.01290,0.00570,-0.04900,-1.82820,0.7325,0.7363
2020-06-30,2.86510,2.88250,-0.01740,0.26660,-0.15870,0.57860,-0.59600,-2.89490,-3.49090,-3.49090,-3.49090,-3.53000,-0.47660,-0.59600,0.89110,0.89110,-4.00000,-4.00000,0.60760,-0.66710,-3.96330,-0.60860,-20.80160,-20.80160,-121.84320,-123.20710,0.27990,0.83140,2.15260,41.81070,165.79220,75.95550,-34.10410,276.38890,-2.25900,1.3729,1.335
2020-03-31,4.57160,4.14840,0.42320,0.47600,-0.44640,1.00020,-0.57700,-0.27670,-0.85360,-0.85360,-0.85360,-0.87870,-0.45770,-0.57700,0.87950,0.87950,-1.00000,-1.00000,0.69650,-0.85450,-7.23770,9.25750,-12.62120,-12.62120,-18.67280,-19.22000,0.37370,0.86700,2.37890,37.83310,64.47940,22.14370,-6.97830,119.57400,-1.50410,2.11240,2.09740
2019-12-31,4.70510,4.17830,0.52680,0.69680,-0.83560,1.74740,-1.22070,-0.32070,-1.54140,-1.54140,-1.54140,-1.53360,-1.16060,-1.22070,0.81010,0.81010,-1.80000,-1.80000,0.80870,6.75620,-22.14880,11.19580,-25.94440,-25.94440,-32.76000,-32.59410,0.29880,0.52330,2.27150,39.62180,296.58240,49.86300,-9.78900,-1707.17400,-0.59090,0.7727,0.7725
2019-09-30,5.08120,4.40970,0.67150,1.03020,-0.67690,1.70710,-1.03560,-0.25270,-1.28820,-1.28820,-1.28820,-1.29390,-1.06190,-1.03560,0.80230,0.80230,-1.60000,-1.60000,0.80160,-0.87190,-5.02300,13.21560,-20.38090,-20.38090,-25.35320,-25.46490,0.44050,0.63020,2.98620,30.13900,57.93720,57.93720,-11.16840,108.45150,-2.76130,-0.4583,-0.4584
2019-06-30,7.53250,6.42110,1.11130,1.14160,-0.66520,1.80690,-0.69550,-0.25730,-0.95280,-0.95280,-0.95280,-1.02360,-0.60470,-0.69550,0.80230,0.80230,-1.20000,-1.20000,0.82790,-1.87670,-6.56380,14.75390,-9.23360,-9.23360,-12.64920,-13.58860,0.68470,1.21250,2.56800,35.04680,58.29290,58.29290,-8.66060,167.69030,-2.03110,3.7396,3.7333
2019-03-31,6.51080,5.60090,0.90990,1.13560,-0.77540,1.91100,-1.00110,-0.23820,-1.23930,-1.23930,-1.23930,-1.24830,-0.91060,-1.00110,0.80130,0.80130,-1.60000,-1.60000,0.87830,-3.21090,-9.56050,13.97470,-15.37610,-15.37610,-19.03460,-19.17270,0.43810,0.64990,1.98780,45.27550,86.20400,86.20400,-8.33820,362.99690,-1.79230,-2.10710,-2.11170
2018-12-31,8.35600,6.86800,1.48800,2.98200,-1.71050,2.98200,-1.49400,-0.61530,-2.11100,-2.11100,-2.11100,-2.15800,-1.41400,-1.49400,0.75740,0.75740,-3.00000,-3.00000,0.91980,,-13.59960,17.80760,-17.87940,-17.87940,-25.26330,-25.82580,0.61980,0.84510,2.42240,37.15340,257.59170,257.59190,-15.65870,257.59170,-1.02290,-1.4529,-1.4797
2018-09-30,6.81500,5.67080,1.14420,0.45650,-0.52910,0.98560,0.15860,0.18830,0.34690,0.34690,0.34690,0.37700,0.20770,0.15860,0.75000,0.75000,0.60000,0.60000,,,,16.79010,2.32740,2.32740,5.09030,5.53130,,,,,,,,,,2.0819,2.0819
2018-06-30,8.80520,7.18220,1.62310,0.49750,-0.55530,1.05270,0.57030,-0.31560,0.25470,0.25470,0.25470,0.24450,0.61940,0.57030,0.75000,0.75000,0.40000,0.40000,,,,18.43300,6.47700,6.47700,2.89270,2.77620,,,,,,,,,,2.7386,2.734
2018-03-31,8.19040,7.50710,0.68330,0.50170,-0.68350,1.18510,-0.50180,-0.26630,-0.76810,-0.76810,-0.76810,-0.71550,-0.45300,-0.50180,0.75000,0.75000,-1.00000,-1.00000,,,,8.34490,-6.12690,-6.12690,-9.37830,-8.73530,,,,,,,,,,1.44120,1.43730
