Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-06-30,0.57480,0.15030,0.42440,0.73550,0.00640,0.72910,-0.30460,0.29470,-0.00990,0.03600,-0.04580,-0.04580,6.86340,6.81760,-0.30460,-0.30460,34.99190,34.99190,0.19500,0.19500,6.95480,0.03460,73.84550,-52.99670,-52.99670,-1.71670,1186.12500,0.00830,,,,-0.07750,-0.07750,-0.06630,-0.07750,1.69080,-0.0469,-0.0469
2023-03-31,0.69970,0.15090,0.54880,0.65730,,0.65740,-0.10850,0.09330,-0.01530,0.02640,-0.04160,-0.04160,-0.00900,-0.05060,-0.09930,-0.10850,55.61100,55.61100,-0.00090,-0.00090,4.12770,0.03340,78.43060,-15.51030,-15.51030,-2.18180,-7.23150,0.01010,,8.14580,11.04860,-0.07950,-0.07950,-0.06030,-0.07950,1.49620,0.02040,0.02040
2022-12-31,1.07440,0.41490,0.65950,-5.49300,-9.56550,4.07250,-3.41300,0.00160,-3.40270,0.01600,-3.41880,-3.41880,0.17000,-3.24880,-3.41300,-3.41300,24.79400,24.79400,-0.08290,-0.06290,4.41140,0.02960,61.38030,-317.66440,-317.66440,-316.70860,-302.38100,0.01590,,,,-6.52350,-6.52350,-5.04610,-6.52350,1.49770,0.0821,0.0822
2022-09-30,1.63500,0.21690,1.41800,0.33050,,0.33060,1.08750,-0.00020,1.08730,0.19080,0.89660,0.89660,-0.05220,0.84440,1.08750,1.08750,26.52900,61.08200,0.03000,0.01000,4.54440,,86.73180,66.51510,66.51510,66.50440,51.64540,0.02320,,,,1.61100,1.61100,1.27230,1.61100,1.59040,-0.1503,-0.1503
2022-06-30,0.69420,0.15090,0.54320,7.65180,0.26880,7.38310,-6.83980,-0.00020,-6.84870,0.04900,-6.89770,-6.89770,-0.26010,-7.15780,-6.83980,-6.83980,23.03610,23.03610,-0.31000,-0.31000,2.39870,,78.25760,-985.32050,-985.32050,-986.58940,-1031.11900,0.01710,,6.99140,12.87300,-27.55830,-27.55850,-16.95980,-27.55830,1.01700,0.1241,0.1241
2022-03-31,,,,0.61150,,,-0.61150,-0.00010,-0.61160,,-0.61160,-0.61160,-0.17980,-0.79130,-0.61110,-0.61150,14.37200,14.37200,-0.05510,-0.05510,0.34530,0.14950,,,,,,,,,,-30.48110,-30.48320,-4.57010,-30.48110,0.13960,0.10860,0.10860
2021-12-31,,,,5.11210,,,-5.11440,-0.21940,-5.21380,,-5.21380,-5.21380,-15.06860,-20.28240,-5.33970,-4.99440,12.38400,12.38400,-1.59300,-1.59300,0.24410,,,,,,,,,,,-187.77190,-187.78140,-44.73960,-187.77200,0.19320,-4.7269,-4.7275
2021-09-30,,,,0.91080,,,-0.91080,0.05760,-0.85320,,-0.85320,-0.85320,-1.13950,-1.99270,-0.68640,-0.91080,12.68900,12.68900,-0.16000,-0.16000,1.13540,0.09830,,,,,,,,,,-4.25910,-4.26390,-1.02930,-4.25910,1.43530,2.5769,2.5769
2021-06-30,,,,7.18270,,,-7.18270,0.16180,-7.02090,,-7.02090,-7.02090,-0.20490,-7.22580,-7.18270,-7.18270,11.58000,11.58000,-0.62400,-0.62400,1.13520,0.39230,,,,,,,,,,-139.54870,-140.17470,-20.25230,-139.54870,0.43120,0.7025,0.7025
2021-03-31,,,,0.36000,,,-0.36000,-0.00010,-0.36000,,-0.36000,-0.36000,-0.21250,-0.57260,-0.36000,-0.36000,11.27100,11.27100,-0.05100,-0.05100,1.19560,0.37860,,,,,,,,,,-6.91270,-6.94260,-1.37720,-6.91270,0.46210,0.14650,0.14650
2020-12-31,,,,-2.14860,,,3.95320,-0.38550,0.02180,,0.11600,0.11600,,0.27340,3.95320,0.40730,11.26410,11.36340,0.01100,0.01100,1.24960,,,,,,,,,,,1.99450,1.99450,0.47510,1.99450,0.51670,-0.0975,-0.0957
2020-09-30,0.68550,0.39400,0.29150,0.79160,,0.79160,-0.50010,0.58160,0.08140,-0.00060,0.08210,0.08210,,0.08210,-0.50010,-0.50010,11.27100,11.27100,0.01000,0.01000,1.22160,0.35690,42.52220,-72.96240,-72.96240,11.88200,11.97410,0.02730,,0.11170,805.82290,1.48110,1.48710,0.32700,1.48110,0.49170,-0.2567,-0.2569
2020-06-30,1.67920,0.75410,0.92510,0.99130,,0.99130,-0.06620,0.05890,-0.00730,0.00750,-0.01480,-0.01480,,-0.01480,-0.06620,-0.06620,11.25850,11.25850,-0.00100,-0.00100,1.18470,0.35620,55.09300,-3.94300,-3.94300,-0.43520,-0.87950,0.06100,,0.28440,316.44740,-0.26890,-0.27000,-0.05360,-0.26890,0.48730,-0.2281,-0.2297
2020-03-31,1.18130,0.65650,0.52480,1.15340,,1.15350,-0.62870,-0.23730,-0.86600,0.08740,-0.95340,-0.95340,,-0.95340,-0.62870,-0.62870,11.25500,11.25500,-0.08000,-0.08000,1.22390,0.34920,44.42380,-53.21860,-53.21860,-73.30710,-80.70540,0.03840,,7.63040,11.79490,-17.36860,-17.44010,-3.09960,-17.36860,0.48770,-0.10790,-0.10790
2019-12-31,0.88760,0.57300,0.31460,1.49820,,1.49820,-1.18350,0.30370,-0.87980,0.24870,-1.12860,-1.12860,,-1.12860,-1.18350,-1.18350,11.24600,11.24600,-0.10000,-0.10000,1.16100,0.28990,35.44800,-133.33390,-133.33380,-99.12130,-127.14420,0.02740,,0.15210,591.58120,-17.51050,-17.57160,-3.47880,-17.51050,0.57260,-0.087,-0.0904
2019-09-30,1.12360,0.58030,0.54330,1.26800,,1.26790,-0.72470,-0.52070,-1.24530,-0.11750,-1.12790,-1.12790,,-1.12790,-0.72470,-0.72470,11.25510,11.25510,-0.10000,-0.10000,1.19080,0.23940,48.35470,-64.49410,-64.49410,-110.83630,-100.38310,0.03290,,0.19770,455.19420,-14.86300,-14.90670,-3.30020,-14.86300,0.67420,-0.9596,-0.9598
2019-06-30,0.62610,0.44100,0.18510,0.89220,,0.89230,-0.70720,-0.48690,-1.19410,-0.06660,-1.12750,-1.12750,,-1.12750,-0.70720,-0.70720,11.24800,11.24800,-0.10000,-0.10000,1.18130,,29.55760,-112.95450,-112.95450,-190.72870,-180.09370,0.01430,,0.10580,850.54880,-12.92600,-12.95920,-2.56980,-12.92600,0.77500,1.3716,1.371
2019-03-31,0.53570,0.26730,0.26840,1.30540,,1.30540,-1.03700,0.33670,-0.70020,0.00860,-0.70880,-0.70880,,-0.70880,-1.03700,-1.03700,11.22600,11.22600,-0.06000,-0.06000,1.43370,,50.10670,-193.57350,-193.57350,-130.71300,-132.31130,0.01950,,0.08490,1059.63700,-7.25330,-7.26980,-2.58040,-7.25330,0.87050,0.55010,0.54770
2018-12-31,0.30360,0.40550,-0.10190,3.57960,-0.02640,3.60600,-3.70790,-0.28730,-3.99520,0.09430,-4.08950,-4.08950,,-4.08950,-3.70790,-3.70790,11.21850,11.21850,-0.36000,-0.36000,1.58490,0.23870,-33.55560,-1221.31900,-1221.32000,-1315.96400,-1347.02500,0.01240,,0.04690,1919.95500,-39.06130,-39.14470,-16.64480,-39.06130,0.93260,-0.3974,-0.38
2018-09-30,0.36350,0.29950,0.06410,2.35730,-0.32620,2.68350,-2.61950,-1.00460,-3.62400,-0.74270,-2.88140,-2.88140,,-2.88140,-2.61950,-2.61950,11.22600,11.22600,-0.26000,-0.26000,1.61140,0.27380,17.61930,-720.55820,-720.55820,-996.88780,-792.59600,0.01100,20.15490,0.05280,1704.69500,-19.97260,-20.00350,-8.74860,-19.97260,1.28510,-1.1545,-1.1532
2018-06-30,3.85400,0.94020,2.91380,3.03310,,3.03320,-0.11940,-1.23900,-1.35840,-0.27400,-1.08440,-1.08440,,-1.08440,-0.11940,-0.11940,11.21700,11.21700,-0.10000,-0.10000,1.40220,0.41900,75.60410,-3.09690,-3.09690,-35.24550,-28.13670,0.07410,110.27690,0.44520,202.13750,-6.28330,-6.29140,-2.08500,-6.28330,1.53730,-0.7723,-0.8221
2018-03-31,3.97430,0.93360,3.04070,3.25250,,3.25250,-0.21180,1.07750,0.86570,0.44240,0.42330,0.42330,,0.42330,-0.21180,-0.21180,11.20400,11.22300,0.04000,0.04000,1.41170,0.38490,76.50920,-5.32890,-5.32890,21.78330,10.65070,0.07220,,4.44580,20.24380,2.30070,2.30350,0.76850,2.30070,1.64120,0.27080,0.25020
2017-12-31,2.37670,0.42500,1.95180,4.92360,,4.92360,-2.97190,0.60170,-2.37020,-0.16200,-2.20830,-2.20830,,-2.20830,-2.76810,-2.97190,11.07800,11.07800,-0.20000,-0.20000,1.41980,0.40230,82.12020,-125.04200,-125.04200,-99.72750,-92.91270,0.04500,,1.03710,86.78080,-12.32420,-12.33950,-4.18000,-12.32420,1.60130,0.257,0.224
2017-09-30,3.35500,0.29220,3.06280,3.12300,,3.12300,-0.06020,0.21190,0.15170,0.12470,0.02700,0.02700,,0.02700,0.13050,-0.06020,11.18900,11.24900,0.00000,0.00000,1.59750,0.32060,91.29160,-1.79300,-1.79300,4.52150,0.80580,0.06940,,0.89880,100.12820,0.13600,0.13620,0.05600,0.13600,1.77620,-0.1238,-0.1342
2017-06-30,2.91910,0.26750,2.65160,2.54920,,2.54920,0.10230,0.21610,0.31840,0.07230,0.24610,0.24610,,0.24610,0.10230,0.10230,11.18900,11.41700,0.02000,0.02000,1.59410,0.32090,90.83590,3.50600,3.50600,10.90750,8.43140,0.06120,,1.16320,77.36990,1.26480,1.26610,0.51620,1.26480,1.73910,0.0301,0.0052
2017-03-31,4.27160,0.26270,4.00890,2.91090,,2.91090,1.09800,0.08340,1.18140,0.30790,0.87350,0.87350,,0.87350,1.09800,1.09800,10.73350,11.50990,0.08000,0.08000,1.56300,0.33650,93.85100,25.70510,25.70510,27.65760,20.45000,0.08930,,1.34590,66.86780,4.62620,4.63130,1.82680,4.62620,1.68760,-0.05360,-0.05880
2016-12-31,4.92920,0.30630,4.62290,2.50140,,2.50140,2.12150,-0.02300,2.09840,0.39240,1.70610,1.70610,,1.70610,2.12150,2.12150,10.64120,11.30920,0.16000,0.14000,1.48810,0.35780,93.78610,43.03900,43.03900,42.57170,34.61150,0.10220,,1.61160,55.84530,9.67560,9.68690,3.53700,9.67560,1.57870,-0.0869,-0.1259
2016-09-30,5.74220,0.28530,5.45700,2.39720,,2.39710,3.05980,-0.01130,3.04850,0.59670,2.45170,2.45170,,2.45170,3.05980,3.05980,10.63200,11.36600,0.23000,0.22000,1.41860,0.20940,95.03240,53.28590,53.28590,53.08880,42.69680,0.11160,,2.76050,32.60290,14.58800,14.60580,4.76500,14.58800,1.51150,0.1338,0.1261
2016-06-30,4.68330,0.27540,4.40790,2.47370,,2.47370,1.93410,-0.43810,1.49600,0.37920,1.11680,1.11680,,1.11680,2.07250,1.93410,10.63200,11.31100,0.11000,0.10000,1.41300,,94.11920,41.29890,41.29890,31.94390,23.84750,0.10800,,6.35990,14.15120,7.88860,7.90000,2.57490,7.88860,1.27330,0.2488,0.2074
2016-03-31,3.78880,0.26210,3.52670,2.19960,,2.19950,1.32710,0.17010,1.49720,0.40120,1.09610,1.09610,,1.09610,1.43010,1.32710,10.63230,11.14760,0.10000,0.10000,1.56090,,93.08310,35.02780,35.02780,39.51730,28.92900,0.11460,,7.96920,11.29340,8.54570,8.55940,3.31640,8.54570,1.15350,0.11320,0.07640
2015-12-31,6.41900,0.22000,6.19900,1.56000,,1.56000,4.63900,-0.13530,4.53000,0.81030,3.71970,3.72100,0.00000,3.72100,4.72810,4.63900,12.13800,12.13800,0.31000,0.31000,1.54080,,96.89980,72.26980,72.26980,70.57180,57.96850,0.21580,,34.69000,2.59440,32.99670,33.06170,12.50790,32.99670,1.01420,0.3613,0.372
2015-09-30,2.70640,0.21450,2.49190,0.99910,,0.99910,1.49280,-0.00520,1.48760,0.34350,1.14410,1.14410,,1.14410,1.57680,1.49280,9.61240,9.61240,0.12000,0.12000,,,92.07320,55.15790,55.15790,54.96570,42.27310,,,,,,,,,,0.1288,0.1014
2015-06-30,0.93610,0.20010,0.73600,0.64950,,0.64950,0.08650,0.00050,0.08690,0.00970,0.07720,0.07720,,0.07720,0.16930,0.08650,9.33200,9.33200,0.01000,0.01000,,,78.62200,9.23530,9.23530,9.28380,8.24440,,,,,,,,,,-0.0397,-0.0416
2015-03-31,1.27490,0.17770,1.09720,0.47590,,0.47590,0.62120,0.00000,0.62130,0.12720,0.49410,0.49410,,0.49410,0.69540,0.62120,9.33200,9.33200,0.05000,0.05000,,,86.06210,48.72920,48.72920,48.73150,38.75620,,,,,,,,,,-0.00470,-0.02810
2014-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
