Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,10.40700,11.16000,-0.75300,0.92000,-3.22300,6.19700,-6.95000,-2.94700,-9.89700,,-9.89700,-9.89700,-9.89700,-6.95000,-6.95000,52.34500,52.34500,-0.20000,-0.22000,0.59070,1.05680,-23.26380,-7.23550,-66.78200,-66.78200,-95.09950,-95.09950,0.12390,1.29550,69.46960,335.94670,265.26410,-11.77980,-19.08630,-0.03,-0.0597
2023-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2023-03-31,11.43800,11.99400,-0.55600,0.95800,-2.75400,4.84100,-5.39700,-3.31300,-8.71000,,-8.71000,-8.71000,-8.71000,1.04200,-5.39700,483.88900,483.88900,-0.01800,-0.01800,0.98840,0.92020,13.80670,-4.86100,-47.18480,-47.18480,-76.14970,-76.14970,0.11550,1.49480,60.20980,-158.82560,-257.84480,-8.79770,-12.67910,-0.00600,-0.00670
2022-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2022-09-30,13.09700,10.98800,2.10900,2.75400,-9.30900,16.79200,-14.68300,-3.35800,-18.04100,,-18.04100,-18.04100,-18.04100,-14.68300,-14.68300,47.78250,47.78250,-0.40000,-0.44000,,,,16.10290,-112.10960,-112.10960,-137.74910,-137.74910,,,,,,,,0,0
2022-03-31,19.51500,17.59600,1.91900,1.42300,1.53200,0.09600,1.82300,0.12600,1.94900,-0.11700,2.06600,2.06600,2.06600,1.82300,1.82300,516.50000,516.50000,0.00400,0.00400,2.39160,0.18470,0.45160,9.83350,9.34150,9.34150,9.98720,10.58670,0.04700,0.17500,514.21980,0.79310,0.83030,0.49710,0.64660,0.00000,
2021-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2021-09-30,25.97900,,25.97900,,,,25.97900,,25.97900,,25.97900,17.34400,17.34400,25.97900,25.97900,43.36000,43.36000,0.40000,0.40000,,,,100.00000,100.00000,100.00000,100.00000,66.76160,,,,,,,,0,0
2021-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2021-03-31,17.83600,-9.28900,27.12500,0.75600,-0.78000,1.53600,25.58900,-0.28900,25.30000,,25.30000,25.30000,25.30000,25.58900,25.58900,316.25000,361.42900,0.08000,0.07000,,,,152.08010,143.46830,143.46830,141.84790,141.84790,,,,,,,,0.00000,
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
