Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,3.31400,2.49400,,-5.80800,-0.25400,-6.06200,,-6.06200,-6.06200,-6.06200,-5.80600,-5.80800,81.94700,81.94700,-0.07000,-0.07000,0.67720,,-1.61960,97.45980,97.50680,-46.23950,97.50680,-0.07410,-0.0355,-0.0355
2023-06-30,3.87300,4.06500,-0.25000,-8.18800,-0.52900,-8.71700,,-8.71700,-8.71700,-8.71700,-8.18700,-8.18800,73.22200,73.22200,-0.12000,-0.12000,0.87490,,-4.51990,310.43330,310.43440,-44.00530,310.43440,-0.03490,-0.0995,-0.0996
2023-03-31,3.65000,5.78500,,-9.43500,-1.60400,-11.03900,,-11.03900,-11.03900,-11.03900,-9.43400,-9.43500,67.45400,67.45400,-0.16000,-0.16000,0.98600,,-42.91900,3887.18900,3886.99200,-50.68410,3886.97200,-0.00400,-0.09030,-0.09030
2022-12-31,4.45700,5.43200,,-9.88900,-0.35200,-10.24100,,-10.24100,-10.24100,-10.24100,-9.88800,-9.88900,65.76700,65.76700,-0.14000,-0.14000,1.65510,0.27580,1.42060,-138.22360,-138.22380,-39.66920,-100.09770,0.11150,-0.1314,-0.1313
2022-09-30,4.12900,5.01200,,-9.14100,0.05800,-9.08300,,-9.08300,-9.08300,-9.08300,-9.14000,-9.14100,66.45000,66.45000,-0.14000,-0.14000,3.08390,,,-54.12350,-54.12350,-36.58960,-54.12350,0.24810,-0.0902,-0.0903
2022-06-30,2.95800,6.64200,,-9.60000,2.61800,-6.98200,,-6.98200,-6.98200,-6.98200,-9.59900,-9.60000,65.73200,65.73200,-0.11000,-0.11000,4.57760,,,-27.54020,-27.54020,-21.52750,-27.54020,0.38040,-0.2199,-0.2199
2022-03-31,5.48300,10.22200,,-15.70500,2.25700,-13.44800,,-13.44800,-13.44800,-13.44800,-15.70400,-15.70500,63.66700,63.66700,-0.21000,-0.21000,3.82580,0.01610,0.01640,-42.43740,-42.43740,-30.84330,-41.75230,0.47550,-0.16300,-0.16310
2021-12-31,6.41300,46.56200,,-52.97500,22.56800,-30.40700,,-30.40700,-30.40700,-30.40700,-52.97500,-52.97500,46.91800,46.91800,0.12000,0.42000,2.74380,,0.02490,-146.14520,-146.14540,-92.90540,-146.14540,0.35380,-0.2929,-0.2929
2021-09-30,6.27600,13.82300,,-20.09900,-16.95000,-37.04900,,-37.04900,-37.04900,-37.04900,-20.09800,-20.09900,51.73900,51.73900,-0.72000,-0.72000,1.23020,,0.06070,-436.84140,-436.84100,-81.87560,-436.84100,0.15470,-0.1716,-0.1716
2021-06-30,4.65900,12.45800,,-17.11700,16.99900,-0.11800,,-0.11800,-0.11800,-255.94000,-17.11700,-17.11700,41.72700,42.49400,-6.13000,-6.43000,0.32060,-0.01310,-0.01730,0.29670,0.29670,-0.63620,0.30060,-0.81820,-0.2545,-0.2546
