Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-12-31,0.10500,,0.10500,2.96400,2.35400,,,-5.21300,0.21900,-4.99400,-4.99400,-4.99400,-4.90500,-5.14900,-5.21300,41.52700,41.52700,-0.12000,-0.12000,7.11960,0.78670,3.68760,100.00000,-4964.76200,-4964.76200,-4756.19000,-4671.42900,0.00250,,,-75.47240,-75.47230,-12.01520,-16.10030,0.15880,-0.0872,-0.0901
2023-09-30,0.05400,,0.05400,2.99300,2.43800,,,-5.37700,0.27900,-5.09800,-5.09800,-5.09800,-4.96100,-5.31000,-5.37700,41.33200,41.33200,-0.12000,-0.12000,8.15780,0.67730,2.09930,100.00000,-9957.40600,-9957.40600,-9440.74100,-9187.03700,0.00120,,,-46.18590,-46.18590,-11.44540,-14.90210,0.26630,-0.14170,-0.14420
2023-06-30,0.11100,,0.11100,3.52300,3.12300,,,-6.54400,-0.06200,-6.60600,-6.60600,-6.60600,-6.45900,-6.46700,-6.54400,36.65200,36.65200,-0.16000,-0.16000,7.36680,0.60600,1.53790,91.89190,-5895.49600,-5895.49500,-5951.35300,-5818.91800,0.00220,,,-43.17650,-43.17650,-13.00470,-17.01260,0.37100,-0.124,-0.127
2023-03-31,0.08700,,0.08700,4.16700,3.02000,,,-7.10000,-0.65800,-7.75800,-7.75800,-7.75800,-7.62400,-7.01200,-7.10000,39.94800,39.94800,-0.19000,-0.19000,8.68270,0.52790,1.11810,100.00000,-8160.92000,-8160.92000,-8917.24200,-8763.21900,0.00150,,,-37.15340,-37.15340,-13.79420,-17.54130,0.50840,-0.0812,-0.0811
2022-12-31,0.00200,,0.00200,3.78500,2.89600,,,-6.67900,-1.57500,-8.25400,-8.25400,-8.25400,-8.11700,-6.58200,-6.67900,33.19500,33.19500,-0.24000,-0.24000,9.48900,0.47600,0.90820,100.00000,-333950.00000,-333950.00000,-412699.90000,-405849.90000,0.00000,,,-33.06100,-33.06100,-13.77340,-17.32540,0.65200,-0.1847,-0.1868
2022-09-30,0.08700,,0.08700,4.27000,2.74000,,,-6.92300,0.65400,-6.26900,-6.26900,-6.26900,-6.12100,-6.82300,-6.92300,32.56300,32.56300,-0.19000,-0.19000,9.90890,0.43510,0.77030,100.00000,-7957.47200,-7957.47200,-7205.74800,-7035.63200,0.00150,,,-23.30400,-23.30400,-10.49140,-13.16380,0.82430,-0.23370,-0.23590
2022-06-30,,,,5.36100,3.52100,,,-8.88200,-0.20200,-9.08400,-9.08400,-9.08400,-9.00500,-8.74400,-8.88200,32.19200,32.19200,-0.27000,-0.27000,8.45610,0.40250,0.67350,,,,,,,,,-28.22350,-28.22350,-13.34610,-16.86470,0.99010,-0.2637,-0.2699
2022-03-31,0.23400,,0.23400,6.15600,4.55300,,,-10.47500,0.55700,-9.91800,-9.91800,-9.91800,-9.86500,-10.22400,-10.47500,32.26200,32.26200,-0.31000,-0.31000,8.22210,0.36350,0.57110,100.00000,-4476.49500,-4476.49500,-4238.46100,-4215.81200,0.00300,,,-24.70670,-24.70670,-12.53430,-15.72610,1.24120,-0.2898,-0.2909
2021-12-31,,,,6.50700,4.28800,,,-10.79500,-0.14500,-10.94000,-10.94000,-10.94000,-10.94000,-10.46800,-10.79500,32.13600,32.13600,-0.34000,-0.34000,6.26920,0.36760,0.58130,,,,,,,,,-27.45980,-27.45980,-13.47560,-17.36560,1.23630,-0.3058,-0.3067
2021-09-30,,,,6.35300,5.08800,,,-11.44100,0.00900,-11.43200,-11.43200,-11.43200,-11.43200,-11.10400,-11.44100,32.00100,32.00100,-0.36000,-0.36000,6.06140,0.32400,0.47940,,,,,,,,,-23.37500,-23.37500,-13.65060,-15.80080,1.52370,-0.27460,-0.27510
2021-06-30,,,,8.48500,6.10200,,,-14.58700,0.01900,-14.56800,-14.56800,-14.56800,-14.56800,-14.25100,-14.58700,28.11400,28.11400,-0.47000,-0.47000,5.84970,0.29440,0.41730,,,,,,,,,-25.49040,-25.49040,-15.57440,-17.98500,1.78830,-0.3799,-0.3819
2021-03-31,,,,7.66600,6.55900,,,-14.22500,-0.02900,-14.25400,-14.25400,-14.25400,-14.25400,-13.88600,-14.22500,29.61700,29.61700,-0.48000,-0.48000,5.02420,,,,,,,,,,,-20.91990,-20.91990,-18.00340,-20.91990,2.14670,-0.1747,-0.1778
2020-12-31,,,,7.97700,5.09700,,,-13.07400,0.52000,-12.55400,-12.55400,-12.55400,-12.55400,-12.72600,-13.07400,25.66300,25.66300,-0.49000,-0.49000,4.52680,,,,,,,,,,,-30.50940,-30.50940,-24.02080,-30.50940,1.59250,-0.3044,-0.3095
2020-09-30,,,,5.93800,2.79900,,,-8.73700,0.24800,-8.48900,-8.48900,-8.48900,-8.48900,-8.39000,-8.73700,25.53600,25.53600,-0.33000,-0.33000,5.11580,,,,,,,,,,,-17.34290,-17.34290,-14.40030,-17.34290,1.91110,-0.24050,-0.24350
2020-06-30,,,,5.83800,2.67700,,,-8.51400,0.37800,-8.13600,-8.13600,-8.13600,-8.13600,-8.16000,-8.51400,18.19700,18.19700,-0.32000,-0.32000,6.06750,,,,,,,,,,,-14.50240,-14.50240,-12.41530,-14.50240,2.20060,-0.3243,-0.3303
2020-03-31,,,,5.71700,1.68200,,,-7.39900,-0.10800,-7.50700,-7.50700,-7.50700,-7.50700,-7.03600,-7.39900,17.82300,17.82300,-0.42000,-0.42000,2.47490,,,,,,,,,,,-52.98180,-52.98190,-32.61080,-52.98190,0.75880,-0.2746,-0.2754
2019-12-31,0.02300,0.00100,0.02200,4.64000,1.75000,,6.39000,-6.36800,-0.00200,-6.37000,-6.37000,-6.37000,-6.37000,-5.98300,-6.36800,15.92800,15.92800,-0.40000,-0.40000,2.75030,,,95.65220,-27686.96000,-27686.96000,-27695.65000,-27695.65000,0.00090,,,-40.03770,-40.03770,-25.62350,-40.03770,0.93950,-0.3802,-0.3847
2019-09-30,,,,5.38200,1.81300,,,-7.19500,0.05600,-7.13900,-7.13900,-7.13900,-7.13900,-6.72700,-7.19500,15.40500,15.40500,-0.46000,-0.46000,2.73760,,,,,,,,,,,-40.73140,-40.73140,-25.89130,-40.73140,1.12210,-0.47000,-0.47350
2019-06-30,0.00000,,0.00000,5.58000,2.35100,,,-7.93100,0.17100,-7.76000,-7.76000,-7.76000,-7.76000,-7.45000,-7.93100,12.33300,12.33300,-0.52000,-0.52000,3.23250,,,,,,,,0.00000,,,-35.56210,-35.56210,-24.78440,-35.56210,1.44670,-0.4449,-0.4458
2019-03-31,,,,7.82700,2.47300,,,-10.30000,0.22200,-10.07800,-10.07800,-10.07800,-10.07800,-9.82000,-10.30000,11.72300,11.72300,-0.86000,-0.86000,1.60010,,,,,,,,,,,-116.81930,-116.81930,-53.80390,-116.81930,0.72300,-0.4946,-0.4965
2018-12-31,0.05000,0.00200,0.04800,6.25600,2.12300,,8.37900,-8.33100,-0.35200,-8.68300,-8.68300,-8.68300,-8.68300,-7.83300,-8.33100,11.57900,11.57900,-0.75000,-0.75000,2.53720,,,96.00000,-16662.00000,-16662.00000,-17366.00000,-17366.00000,0.00210,0.60980,147.60000,-57.14760,-57.14760,-35.72810,-57.14760,1.30080,-0.6999,-0.7009
2018-09-30,0.00400,,0.00400,6.76400,2.21000,,,-8.97000,0.18400,-8.78600,-8.78600,-8.78600,-8.78600,-8.46700,-8.97000,11.36600,11.36600,-0.77000,-0.77000,3.30510,,,100.00000,-224250.00000,-224250.00000,-219650.00000,-219650.00000,0.00010,0.10810,832.50000,-40.81010,-40.81010,-28.44010,-40.81010,1.87780,-0.74870,-0.76430
2018-06-30,,,,5.93200,2.84400,,,-8.77600,-0.20500,-8.98100,-8.98100,-8.98100,-8.98100,-8.27000,-8.77600,10.58800,10.58800,-0.80000,-0.80000,3.74780,,,,,,,,,,,-31.50460,-31.50460,-23.05190,-31.50460,2.51010,-0.6022,-0.6146
2018-03-31,,,,6.38200,2.66600,,,-9.04800,7.51700,-1.53100,-1.53100,-1.53100,-1.53100,-8.56000,-9.04800,11.00440,11.00440,-0.10000,-0.10000,4.57380,,,,,,,,,,,-4.60760,-4.60760,-3.56290,-4.60760,2.99710,-0.4642,-0.4665
2017-12-31,0.05000,0.00200,0.04800,5.63800,2.92000,0.04300,8.51500,-8.46700,0.23800,-8.22900,-8.22900,-8.22900,-8.22900,-7.96000,-8.46700,10.51300,10.51300,-0.80000,-0.80000,6.39540,,,96.00000,-16934.00000,-16934.00000,-16458.00000,-16458.00000,0.00110,0.29070,309.60000,-22.26400,-22.26400,-18.39580,-22.26400,3.38040,-0.4196,-0.422
2017-09-30,,,,4.67700,2.76300,,,-7.44000,0.05500,-7.38500,-7.38500,-7.38500,-7.38500,-6.91200,-7.44000,9.73220,9.73220,-0.80000,-0.80000,4.78750,,,,,,,,,,,-30.31110,-30.31110,-23.85800,-30.31110,2.48150,-0.53330,-0.54850
2017-06-30,,,,4.55500,2.03100,,,-6.58600,-0.43000,-7.01600,-7.01600,-7.01600,-7.01600,-5.85200,-6.58600,8.74300,8.74300,-0.70000,-0.70000,5.35940,,,,,,,,,,,-23.19260,-23.19260,-18.69240,-23.19260,3.12060,-0.8129,-0.8143
2017-03-31,,,,6.33700,1.88600,,,-8.22300,0.35900,-7.86400,-7.86400,-7.86400,-7.86400,-7.70100,-8.22300,9.17540,9.17540,-0.90000,-0.90000,5.64580,,,,,,,,,,,-22.07560,-22.07560,-18.06240,-22.07560,3.70410,-0.4621,-0.4675
2016-12-31,,,,5.20200,1.44600,,,-6.64800,0.03800,-6.61000,-6.61000,-6.61000,-6.61000,-6.21700,-6.64800,8.10390,8.10390,-0.80000,-0.80000,4.26870,,,,,,,,,,,-26.32000,-26.32000,-20.46500,-26.32000,3.08880,-0.7105,-0.7263
2016-09-30,,,,4.99800,1.56400,,,-6.56200,0.23800,-6.32400,-6.32400,-6.32400,-6.32400,-6.03700,-6.56200,8.06750,8.06750,-0.80000,-0.80000,5.64090,,,,,,,,,,,-19.22010,-19.22010,-15.72780,-19.22010,4.07320,-0.48630,-0.50350
2016-06-30,0.00000,0.00000,0.00000,4.35900,1.81400,,6.17300,-6.17300,-0.03200,-6.20500,-6.20500,-6.20500,-6.20500,-5.76800,-6.17300,7.95480,7.95480,-0.80000,-0.80000,6.16380,,,,,,,,0.00000,0.00000,,-16.26220,-16.26220,-13.50650,-16.26220,4.75350,-0.7048,-0.7329
2016-03-31,,,,5.75600,1.63900,,,-7.39500,0.19200,-7.20300,-7.20300,-7.20300,-7.20300,-6.94100,-7.39500,7.99350,7.99350,-0.90000,-0.90000,8.13790,,,,,,,,,,,-16.71000,-16.71000,-14.41030,-16.71000,5.38290,-0.6927,-0.6961
2015-12-31,2.75200,0.09700,2.65500,5.33700,1.54600,,6.88300,-4.22800,0.26600,-3.96200,-3.96200,-3.96200,-3.96200,-3.68400,-4.22800,7.93710,7.93710,-0.50000,-0.50000,9.70990,,,96.47530,-153.63370,-153.63370,-143.96800,-143.96800,0.04910,2.43320,36.98760,-8.02850,-8.02850,-7.06980,-8.02850,6.18900,-0.4522,-0.497
2015-09-30,0.09500,0.00300,0.09200,4.12800,1.48700,,5.61500,-5.52300,-0.35300,-5.87600,-5.87600,-5.87600,-5.87600,-4.89000,-5.52300,7.87050,7.87050,-0.70000,-0.70000,11.50370,,,96.84210,-5813.68400,-5813.68400,-6185.26300,-6185.26300,0.00160,0.22670,396.94740,-11.22490,-11.22490,-9.74280,-11.22490,6.60980,-0.47870,-0.61890
