Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-03-31,346.92200,265.16200,81.76000,103.79200,,104.46300,-22.70300,-0.46700,-23.17000,-23.17000,-23.17000,4.00000,-19.17000,-23.05600,-22.70300,486.37500,567.45100,-0.04000,-0.04000,1.55090,,0.00300,23.56730,-6.54410,-6.54410,-6.67870,-5.52570,0.51640,3.26050,27.60280,-7.92210,-8.00390,-3.44910,-7.92210,0.58990,0.04570,0.04490
2023-12-31,716.03390,645.68600,70.34790,110.91900,0.68300,128.91570,-58.56790,-4.81200,-63.38000,-63.38000,-63.38000,,-70.47200,-58.81190,-58.56770,482.17600,482.17600,-0.13000,-0.13000,1.63900,,0.00480,9.82470,-8.17950,-8.17950,-8.85150,-9.84200,1.25470,8.85850,10.15970,-22.13030,-22.36380,-11.10620,-22.13040,0.58560,-0.4762,-0.4757
2023-09-30,482.06600,418.95900,63.10700,102.31400,-0.39200,104.57600,-41.46900,,-41.46900,-41.46900,-41.46900,,-41.46900,-41.86600,-41.46900,480.77000,480.77000,-0.09000,-0.09000,1.27410,,,13.09090,-8.60240,-8.60240,-8.60230,-8.60230,0.45490,3.67820,24.46860,-12.88450,-13.70140,-3.91290,-12.88450,0.66060,-0.04,-0.0404
2023-06-30,513.62800,436.95400,76.67400,104.87000,5.13800,105.48100,-28.80700,-0.00700,-28.81400,-28.81400,-28.81400,,-28.81400,-26.69600,-28.80700,479.16400,479.16400,-0.06000,-0.06000,1.24360,,,14.92790,-5.60850,-5.60850,-5.60990,-5.60990,0.40830,3.96460,22.70100,-8.71650,-9.26170,-2.29050,-8.71650,0.68350,0.1364,0.1356
2023-03-31,321.99200,274.78900,47.20300,126.62500,1.81000,126.90100,-79.69800,,-79.69800,-79.69800,-79.69800,7.09200,-72.60600,-82.67300,-79.69800,478.80500,566.62900,-0.16000,-0.16000,1.14760,,,14.65970,-24.75150,-24.75150,-24.75150,-22.54900,0.22150,2.38760,37.69450,-24.66610,-26.29370,-5.48280,-24.66610,0.66950,0.13950,0.13900
2022-12-31,898.79110,893.64480,5.14630,124.34900,11.01900,112.48920,-107.34280,23.11700,-84.22600,-84.22600,-84.22600,,-84.22600,-108.95380,-107.34300,476.24400,476.24400,-0.17000,-0.17000,1.44840,,0.00440,0.57260,-11.94300,-11.94300,-9.37100,-9.37100,1.11150,9.54100,9.43300,-23.60020,-25.00130,-10.41600,-23.60020,0.74600,-0.6127,-0.6208
2022-09-30,856.81700,839.79900,17.01800,117.97400,27.47600,91.11400,-74.09600,-1.39300,-75.48900,-75.48900,-75.48900,,-75.48900,-74.16600,-74.09600,477.69000,477.69000,-0.16000,-0.16000,1.29390,0.04850,0.05090,1.98620,-8.64780,-8.64780,-8.81040,-8.81040,0.55010,10.45270,8.61020,-19.25840,-19.46860,-4.84620,-18.32500,0.82020,0.2135,0.213
2022-06-30,846.70000,858.78600,-12.08600,117.53100,27.47600,90.64100,-102.72700,-1.63500,-104.36200,-104.36200,-104.36200,,-104.36200,-102.14100,-102.72700,476.06200,476.06200,-0.22000,-0.22000,1.16410,0.04470,0.04670,-1.42740,-12.13260,-12.13260,-12.32570,-12.32570,0.41040,9.15830,9.82720,-24.44520,-24.69000,-5.05820,-23.35360,0.89430,-0.0815,-0.0819
2022-03-31,874.37900,861.72200,12.65700,126.78800,27.47600,100.13800,-87.48100,11.99100,-75.49000,-75.49000,-75.49000,,-75.49000,-86.67200,-87.48100,473.02900,473.02900,-0.16000,-0.16000,1.15770,0.03910,0.04070,1.44750,-10.00490,-10.00490,-8.63360,-8.63360,0.32630,15.63910,5.75480,-15.41200,-15.54640,-2.81690,-14.80890,1.03490,-0.12060,-0.12090
2021-12-31,432.03600,441.93010,-9.89400,114.08000,-61.96700,176.89490,-186.78890,-0.41200,-187.20100,-187.20100,-187.20100,,-187.20100,-185.87390,-186.78900,412.92200,412.92200,-0.43000,-0.43000,2.01960,0.03570,0.03700,-2.29010,-43.23460,-43.23460,-43.33000,-43.33000,0.45440,6.93210,12.98310,-34.71080,-34.98540,-19.68870,-33.47330,1.14540,-0.1961,-0.1967
2021-09-30,427.16300,436.32500,-9.16200,119.21000,-20.76100,140.09100,-149.25300,114.72600,-34.52700,-34.52700,-34.52700,,-34.52700,-149.05600,-149.25300,414.57300,414.57300,-0.08000,-0.08000,2.42900,0.04610,0.04830,-2.14490,-34.94050,-34.94050,-8.08290,-8.08290,0.44850,7.65760,11.75310,-8.37440,-8.46130,-3.62500,-7.98830,0.98020,-0.1029,-0.1034
2021-06-30,412.47200,458.50300,-46.03100,107.81300,-27.90000,135.83100,-181.86210,-135.74900,-317.61100,-317.61100,-317.61100,,-317.61100,-181.68310,-181.86210,408.15700,408.15700,-0.78000,-0.78000,3.66370,0.05930,0.06310,-11.15980,-44.09080,-44.09080,-77.00180,-77.00180,0.33920,7.42990,12.11320,-100.87530,-102.25000,-26.12150,-94.89220,0.77110,-0.1378,-0.1383
2021-03-31,200.32500,214.42000,-14.09500,104.64200,-0.19100,104.99300,-119.08800,70.67100,-48.41700,-48.41700,-48.41700,,-48.41700,-105.21600,-119.08800,376.17100,376.17100,-0.13000,-0.13000,4.67820,0.03960,0.07760,-7.03610,-59.44740,-59.44740,-24.16920,-24.16920,0.23110,4.05220,22.21010,-8.22110,-8.28060,-5.58480,-7.89550,1.44310,-0.24690,-0.24710
2020-12-31,166.23300,179.54200,-13.30900,54.94900,0.77100,54.32000,-67.62900,-58.76200,-126.39100,-126.39100,-126.39100,,-126.39100,-61.19200,-67.62900,88.69200,88.69200,-1.30000,-1.25000,1.15560,-0.21000,-0.20750,-8.00620,-40.68320,-40.68330,-76.03240,-76.03240,0.62200,3.31720,27.13160,20.61190,20.47060,-47.29280,24.94000,-6.87390,-1.1,-1.1052
2020-09-30,169.06900,144.84600,24.22300,46.47500,0.77200,45.84100,-21.61800,34.37600,12.75800,12.75800,12.75800,,12.75800,-17.05900,-21.61800,88.86300,248.13300,0.06000,0.02000,0.32760,,,14.32730,-12.78650,-12.78650,7.54600,7.54600,0.20400,,,255.15990,255.16000,1.53950,255.15990,0.20640,-0.1374,-0.1381
2020-06-30,172.08100,119.36600,52.71500,40.69500,11.30300,29.54500,23.17000,-17.76700,5.40300,5.40300,5.40300,,5.40300,28.12300,23.17000,88.60800,242.62500,0.02000,0.01000,16.68340,,,30.63380,13.46460,13.46460,3.13980,3.13980,0.20750,,,108.06000,108.06000,0.65160,108.06000,0.20840,0.3222,0.323
