Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,19.52000,19.52000,9.59500,6.83900,-14.89300,-11.80700,1.05500,-10.75200,,-10.75200,-10.75200,-10.75200,-11.06800,-11.80700,98.85200,98.85200,-0.11000,-0.11000,2.04700,,100.00000,-60.48670,-60.48670,-55.08200,-55.08200,0.32880,18.67940,4.81810,-35.24090,-35.24090,-18.10830,-35.24090,0.30860,-0.0674,-0.0679
2023-06-30,20.05500,20.05500,14.32800,3.66400,,2.06300,1.91300,3.97600,,3.97600,3.97600,3.97600,2.82100,2.06300,87.63900,87.82600,0.05000,0.05000,1.93410,,100.00000,10.28670,10.28670,19.82550,19.82550,0.22910,21.06620,4.27230,9.81780,9.81780,4.54170,9.81780,0.40970,-0.1305,-0.1312
2023-03-31,1.93600,1.93600,13.42400,4.02300,,-15.51100,2.32800,-13.18300,,-13.18300,-13.18300,-13.18300,-14.90600,-15.51100,74.51900,74.51900,-0.18000,-0.18000,1.41120,,100.00000,-801.18800,-801.18800,-680.94010,-680.94010,0.02350,1.83510,49.04440,-85.28270,-85.28270,-16.02640,-85.28270,0.20740,-0.14760,-0.14820
2022-12-31,5.84600,5.84600,13.38000,3.98500,,-11.51900,3.41700,-8.10200,,-8.10200,-8.10200,-8.10200,-10.94400,-11.51900,74.17200,74.17200,-0.11000,-0.11000,2.00710,,100.00000,-197.04060,-197.04060,-138.59050,-138.59050,0.06120,1.00620,89.44580,-29.00930,-29.00930,-8.48470,-29.00930,0.37480,-0.1763,-0.1761
2022-09-30,5.37000,5.37000,13.58900,3.94900,,-12.16800,2.43200,-9.73600,,-9.73600,-9.73600,-9.73600,-11.40100,-12.16800,74.39700,74.39700,-0.13000,-0.13000,2.34360,,100.00000,-226.59220,-226.59220,-181.30350,-181.30350,0.05420,6.47770,13.89390,-27.22060,-27.22060,-9.81820,-27.22060,0.48070,-0.1161,-0.1165
2022-06-30,3.69800,3.69800,11.94700,4.08100,,-12.33000,1.99200,-10.33800,,-10.33800,-10.33800,-10.33800,-11.74700,-12.33000,74.12500,74.12500,-0.14000,-0.14000,2.55740,,100.00000,-333.42350,-333.42350,-279.55650,-279.55650,0.03240,2.92560,30.76260,-23.30220,-23.30220,-9.04390,-23.30220,0.59630,-0.2084,-0.2169
2022-03-31,10.98800,10.98800,14.06600,4.37900,,-7.45700,2.35600,-5.10100,,-5.10100,-5.10100,-5.10100,-6.61200,-7.45700,73.71100,73.71100,-0.07000,-0.07000,2.83020,,100.00000,-67.86490,-67.86490,-46.42340,-46.42340,0.08010,6.68370,13.46560,-9.54350,-9.54350,-3.72020,-9.54350,0.72130,-0.30720,-0.31250
2021-12-31,8.44300,8.44300,15.35700,4.08500,,-10.99900,1.46700,-9.53200,,-9.53200,-9.53200,-9.53200,-10.39000,-10.99900,64.54700,64.54700,-0.15000,-0.15000,2.52420,,100.00000,-130.27360,-130.27360,-112.89830,-112.89830,0.05500,2.54840,35.31570,-18.78040,-18.78040,-6.20730,-18.78040,0.70280,-0.1672,-0.1729
2021-09-30,4.05700,4.05700,18.93700,4.13200,,-19.01200,2.47600,-16.53600,,-16.53600,-16.53600,-16.53600,-18.40400,-19.01200,67.73000,67.73000,-0.24000,-0.24000,2.76980,,100.00000,-468.62220,-468.62220,-407.59180,-407.59180,0.02470,0.61040,147.43410,-30.70580,-30.70580,-10.07160,-30.70580,0.75310,-0.2385,-0.2434
2021-06-30,3.28500,3.28500,15.80000,4.24600,,-16.76100,1.26300,-15.49800,,-15.49800,-15.49800,-15.49800,-16.14400,-16.76100,61.90500,61.90500,-0.25000,-0.25000,2.90640,,100.00000,-510.22830,-510.22830,-471.78080,-471.78080,0.02120,1.17200,76.79450,-33.17140,-33.17140,-9.99680,-33.17140,0.70070,0.5026,0.499
