Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,0.20000,16.80900,-16.60900,13.50800,17.24500,,33.77400,-50.38300,34.19800,-16.18500,-16.18500,-16.18500,-16.18500,-47.48300,-50.38300,159.83000,161.37100,-0.10000,-0.29000,8.51510,0.39820,0.66180,-8304.50000,-25191.50000,-25191.50000,-8092.50000,-8092.50000,0.00040,78.18140,,,-6.41050,-6.41050,-3.11280,-3.85770,1.56170,-0.1669,-0.2712
2023-06-30,0.04200,14.23500,-14.19300,16.55300,16.68800,-4.41100,37.65200,-51.84500,-12.46100,-64.30600,-64.30600,-64.30600,-64.30600,-48.34300,-51.84500,157.15100,157.15100,-0.41000,-0.41000,11.06960,0.40280,0.67450,-33792.86000,-123440.50000,-123440.50000,-153109.50000,-153109.50000,0.00010,17.88320,1.00000,90.00000,-26.00490,-26.00490,-11.93160,-15.52950,1.55610,-0.1482,-0.2289
2023-03-31,0.02100,12.24800,-12.22700,23.74900,27.27400,,51.02300,-63.25000,-10.35300,-73.60300,-73.60300,-73.60300,-73.60300,-59.65200,-63.25000,155.62700,155.62700,-0.47000,-0.47000,12.00080,,,-58223.81000,-301190.50000,-301190.50000,-350490.50000,-350490.50000,0.00010,15.02820,1.00000,90.00000,-23.58230,-23.58230,-17.92550,-23.58230,1.97430,-0.16460,-0.18400
2022-12-31,1.09300,10.35600,-9.26300,15.54500,15.42500,,35.89100,-45.15400,33.97300,-11.18100,-11.18100,-11.18100,-11.18100,-41.97700,-45.15400,152.91800,154.14900,-0.08000,0.05000,14.31450,,,-847.48360,-4131.19900,-4131.19900,-1022.96500,-1022.96400,0.00250,16.33440,6.42940,13.99820,-3.13700,-3.13700,-2.53780,-3.13700,2.26360,-0.1396,-0.1699
2022-09-30,0.00800,6.62900,-6.62100,13.94800,13.11000,,27.05800,-33.67900,-48.33400,-82.01300,-82.01300,-82.01300,-82.01300,-30.68400,-33.67900,153.33200,153.33200,-0.53000,-0.53000,20.28130,,,-82762.49000,-420987.50000,-420987.50000,-1025163.00000,-1025163.00000,0.00000,14.66590,1.33330,67.50000,-22.89060,-22.89060,-17.54070,-22.89060,2.28090,-0.133,-0.2427
2022-06-30,5.10100,5.73900,-0.63800,15.82700,11.56600,,27.39300,-28.03100,26.89600,-1.13500,-1.13500,-1.13500,-1.13500,-26.67900,-28.03100,152.52100,152.52100,-0.01000,-0.18000,22.78610,,,-12.50740,-549.51970,-549.51970,-22.25060,-22.25050,0.01050,8.57850,50.00980,1.79960,-0.26470,-0.26470,-0.23290,-0.26470,2.73640,-0.1358,-0.1625
2022-03-31,,0.51500,-0.51500,12.73100,11.86900,,24.60000,-25.11500,67.82200,42.70700,42.70700,42.70700,42.70700,-24.66700,-25.11500,151.64800,153.33800,0.28000,-0.16000,23.80690,,,,,,,,,,,,10.14290,10.14290,8.43530,10.14290,2.69180,-0.12840,-0.19660
2021-12-31,,0.12000,-0.12000,12.43700,12.20500,,24.64200,-24.76200,-59.80600,-84.56800,-84.56800,-84.56800,-84.56800,-24.30900,-24.76200,117.21900,117.21900,-0.67000,-0.61000,19.29260,,,,,,,,,,,,-25.93180,-25.93180,-17.52470,-25.93180,2.14170,-0.1821,-0.3206
2021-09-30,,0.10400,-0.10400,10.30100,8.79100,,19.09200,-19.19600,8.35800,-10.83800,-10.83800,-10.83800,-10.83800,-18.50900,-19.19600,133.49200,135.05200,-0.08000,-0.14000,22.38710,,,,,,,,,,,,-3.34810,-3.34810,-2.60890,-3.34810,2.22960,-0.1002,-0.1223
2021-06-30,,0.11200,-0.11200,9.52300,4.54800,,14.07100,-14.18300,-0.12000,-14.30300,-14.30300,-14.30300,-14.30300,-13.94900,-14.18300,97.43400,97.43400,-0.15000,-0.15000,0.00140,,0.12600,,,,,,,,,,-286.05910,-286.05910,-6.21090,-286.05950,0.19310,-0.0655,-0.2022
2021-03-31,,1.63100,-1.63100,5.58900,4.16100,,9.75000,-11.38100,-4.78400,-16.16500,-16.16500,-16.16500,-16.16500,-11.24000,-11.38100,95.81700,95.81700,-0.17000,-0.17000,0.00620,,1.61000,,,,,,,,,,-323.29980,-323.30200,-7.01300,-323.29980,0.35500,-0.08990,-0.16440
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0.1814,0.4023
2020-09-30,,1.15300,-1.15300,3.80700,1.48600,,5.29300,-6.44600,-7.03000,-13.47600,-13.47600,-13.47600,-13.47600,-6.44600,-6.44600,85.63800,85.63800,-0.16000,-0.16000,,,,,,,,,,,,,,,,,,-0.1814,-0.4023
