Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,25.34700,5.77200,-31.11900,2.69000,-28.42900,-28.42900,-28.42900,-28.42900,-30.70000,-31.11900,35.65400,35.65400,-0.80000,-0.80000,12.49250,0.01420,-14.24210,-14.24210,-12.63020,-14.24210,5.59150,-0.6582,-0.6585
2023-06-30,21.93800,5.71900,-27.65700,2.76600,-24.89100,-24.89100,-24.89100,-24.89100,-27.27400,-27.65700,35.34830,35.34830,-0.70000,-0.70000,15.73700,0.01210,-11.09690,-11.09690,-10.00950,-11.09690,6.29540,-0.5977,-0.5935
2023-03-31,24.39500,5.63600,-30.03100,0.98000,-29.05100,-29.05100,-29.05100,-29.05100,-29.73700,-30.03100,29.58650,29.58650,-0.98000,-0.98000,4.73690,0.03140,-34.94690,-34.94690,-25.79150,-34.94690,2.80360,-0.81270,-0.91090
2022-12-31,20.53900,5.73700,-26.27600,0.96200,-25.31400,-25.31400,-25.31400,-25.31400,-26.08700,-26.27600,29.27180,29.27180,-0.87000,-0.87000,6.16820,0.00570,-23.32250,-23.32250,-19.57670,-23.32250,3.67160,-0.6924,-0.7168
2022-09-30,18.24200,5.24200,-23.48400,0.59400,-22.89000,-22.89000,-22.89000,-22.89000,-23.30000,-23.48400,29.31900,29.31900,-0.78000,-0.78000,11.03030,0.00460,-17.52210,-17.52210,-15.78080,-17.52210,4.44520,-0.5692,-0.5674
2022-06-30,12.58200,4.89200,-17.47400,0.21600,-17.25800,-17.25800,-17.25800,-17.25800,-17.27800,-17.47400,29.19640,29.19640,-0.59000,-0.59000,16.46420,0.00390,-11.47550,-11.47550,-10.67050,-11.47550,5.13630,-0.5276,-0.5369
2022-03-31,11.35000,5.05000,-16.40000,0.03400,-16.36600,-16.36600,-16.36600,-16.36600,-16.13400,-16.40000,29.12610,29.12610,-0.56000,-0.56000,20.97750,0.00350,-9.93290,-9.93290,-9.35930,-9.93290,5.64860,-0.34310,-0.34640
2021-12-31,11.08800,3.64900,-14.73700,0.02700,-14.71000,-14.71000,-14.71000,-14.71000,-14.43200,-14.73700,23.85860,23.85860,-0.49000,-0.49000,38.07660,0.00320,-8.22790,-8.22790,-7.92120,-8.22790,6.14050,-0.8116,-0.8452
2021-09-30,7.88600,4.75200,-12.63800,0.03200,-12.60600,-12.60600,-12.60600,-12.60600,-12.41600,-12.63800,29.00120,29.00120,-0.43000,-0.43000,33.87750,0.00290,-6.58860,-6.58860,-6.32190,-6.58860,6.58810,-0.2544,-0.3204
2021-06-30,5.22400,3.21100,-8.43500,0.03600,-8.39900,-8.39900,-8.39900,-8.39900,-8.20800,-8.43500,25.16100,25.16100,-0.33000,-0.33000,40.57490,0.00240,-4.15760,-4.15760,-4.00840,-4.15760,6.96850,-0.0787,-0.1064
2021-03-31,3.79800,2.05900,-5.85700,0.00500,-5.85200,-5.85200,-5.85200,-5.85200,-5.84600,-5.85700,11.96420,11.96420,-0.49000,-0.49000,12.12610,0.78280,-2647.96300,-2647.95600,-9.77370,-2647.96400,0.01840,-0.34060,-0.34620
2020-12-31,2.33200,1.16700,-3.49900,0.00100,-3.49800,-3.49800,-3.49800,-3.49800,-3.49300,-3.49900,10.53290,10.53290,-0.33000,-0.33000,38.43300,0.05010,-67.67270,-67.67260,-5.59450,-67.67270,0.43240,-0.2763,-0.2802
2020-09-30,0.78900,0.34600,-1.13500,,-1.13500,-1.13500,-1.13500,-1.13500,-1.13500,-1.13500,11.72410,11.72410,-0.10000,-0.10000,,,,,,,,-0.0833,-0.0843
2020-06-30,0.21600,0.07900,-0.29500,0.00200,-0.29300,-0.29300,-0.29300,-0.29300,-0.29500,-0.29500,9.74690,9.74690,-0.03000,-0.03000,,,,,,,,-0.0349,-0.0349
2020-03-31,0.33400,0.06400,-0.39800,,-0.39800,-0.39800,-0.39800,-0.39800,-0.39800,-0.39800,8.75900,8.75900,-0.05000,-0.05000,,,,,,,,-0.02880,-0.02880
2019-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
