Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,,,3.29500,2.83900,-6.13400,0.07900,-6.05500,-6.05500,-6.05500,-6.05500,-5.87900,-6.13400,217.26500,217.26500,-0.03000,-0.03000,6.19050,0.00080,0.00100,,,,,,,,,-26.15550,-27.75740,-20.32490,-26.13410,0.10660,-0.0203,-0.0204
2023-06-30,,,3.55900,2.60000,-6.15900,0.09900,-6.06000,-6.06000,-6.06000,-6.06000,-5.89600,-6.15900,217.26500,217.26500,-0.03000,-0.03000,9.27000,0.00070,0.00090,,,,,,,,,-21.75630,-22.85240,-17.81040,-21.74070,0.12820,-0.0101,-0.011
2023-03-31,1.09600,1.09600,3.97000,2.71200,-5.58600,0.07300,-5.51300,-5.51300,-5.51300,-5.51300,-5.31300,-5.58600,217.26500,217.26500,-0.03000,-0.03000,14.87660,0.00060,0.00080,100.00000,-509.67160,-509.67160,-503.01100,-503.01100,0.02860,,,-16.89810,-17.61960,-14.40860,-16.88720,0.15020,-0.01880,-0.01880
2022-12-31,1.06200,1.06200,3.86600,2.67700,-5.48100,1.84700,-3.63400,-3.63400,-3.63400,-3.63400,-5.20200,-5.48100,216.81100,216.81100,-0.01000,-0.01000,8.05690,0.00060,0.00080,100.00000,-516.10170,-516.10170,-342.18450,-342.18450,0.02370,,,-9.91890,-10.29430,-8.10820,-9.91300,0.16860,-0.0199,-0.0201
2022-09-30,1.06300,1.06300,3.70700,2.81800,-5.46200,,-5.46200,-5.46200,-5.46200,-5.46200,-5.18400,-5.46200,216.86500,216.86500,-0.03000,-0.03000,7.56870,,0.00020,100.00000,-513.82880,-513.82880,-513.82880,-513.82880,0.02240,,,-14.14340,-14.65040,-11.48790,-14.14340,0.17810,-0.0229,-0.024
2022-06-30,1.06300,1.06300,4.12700,2.86100,-5.92500,0.00200,-5.92300,-5.92300,-5.92300,-5.92300,-5.64500,-5.92500,216.86500,216.86500,-0.03000,-0.03000,7.78930,,0.00030,100.00000,-557.38480,-557.38480,-557.19660,-557.19660,0.02030,,,-13.82310,-14.26810,-11.30010,-13.82310,0.19760,-0.0236,-0.0239
2022-03-31,,,4.97800,2.74400,-7.72200,1.74400,-5.97800,-5.97800,-5.97800,-5.97800,-7.45000,-7.72200,216.64500,216.64500,-0.03000,-0.03000,11.97270,,0.00040,,,,,,,,,-12.53730,-12.89890,-10.71620,-12.53730,0.21990,-0.02200,-0.02450
2021-12-31,-0.00030,-0.00030,4.23960,2.47440,-6.71430,0.01520,-6.69900,-6.69900,-6.69900,-6.69920,-6.43190,-6.71430,210.17800,210.17800,-0.03000,-0.03000,11.72790,0.00010,0.00050,,,,,,0.00000,,,-12.76150,-13.09480,-10.92360,-12.76080,0.24270,-0.02,-0.0203
2021-09-30,,,4.62130,2.25670,-6.87790,0.04140,-6.83660,-6.83660,-6.83660,-6.83660,-6.61820,-6.87790,215.18000,215.18000,-0.03000,-0.03000,13.77920,0.00010,0.00050,,,,,,,,,-11.73570,-12.01130,-10.20610,-11.73460,0.26940,-0.0255,-0.0265
2021-06-30,,,2.48080,2.30890,-4.78970,-0.00140,-4.79110,-4.79110,-4.79110,-4.97600,-4.55260,-4.78970,205.21500,205.21500,-0.02000,-0.02000,16.96850,0.00020,0.00060,,,,,,,,,-7.61660,-7.78190,-6.84720,-7.61520,0.29310,-0.0041,-0.0041
2021-03-31,0.03330,0.03330,3.24140,3.14500,-6.35310,1.39680,-4.95630,-4.95630,-4.95630,-5.16720,-6.10130,-6.35310,203.87200,203.87200,-0.03000,-0.03000,28.42220,0.00030,0.00070,100.00000,-19059.52000,-19059.52000,-14869.11000,-15501.82000,0.00050,,,-7.88180,-7.59940,-6.85040,-7.44490,0.32580,-0.02280,-0.02280
2020-12-31,0.06250,0.06250,3.52560,3.02580,-6.48890,0.14800,-6.34090,-6.34090,-6.34090,-6.55890,-6.05810,-6.48890,196.89500,196.89500,-0.03000,-0.03000,17.25380,0.00040,0.00090,100.00000,-10382.22000,-10382.22000,-10145.41000,-10494.29000,0.00090,,,-10.58000,-10.16260,-8.93490,-9.94580,0.31850,-0.0225,-0.0225
2020-09-30,0.09580,0.09580,3.33620,2.36420,-5.60460,0.15510,-5.44950,-5.44950,-5.44950,-5.67710,-5.41600,-5.60460,198.90900,198.90900,-0.03000,-0.03000,22.97240,0.00040,0.00090,100.00000,-5848.30500,-5848.30500,-5686.46800,-5923.96400,0.00130,,,-8.48290,-8.14960,-7.28480,-7.98640,0.34280,-0.0261,-0.026
2020-06-30,,,3.41020,2.35630,-5.76650,0.15600,-5.61050,-5.61050,-5.61050,-5.78760,-5.57000,-5.76650,197.60200,197.60200,-0.03000,-0.03000,28.74320,0.00050,0.00100,,,,,,,,,-8.14770,-7.84820,-7.09420,-7.70010,0.36620,-0.0153,-0.0153
2020-03-31,,,4.08690,2.25960,-6.34650,1.30060,-5.04590,-5.04590,-5.04590,-5.21660,-6.14810,-6.34650,191.67100,191.67100,-0.03000,-0.03000,29.09600,0.00060,0.00110,,,,,,,,,-6.85220,-6.61610,-5.99890,-6.49830,0.39350,-0.02430,-0.02440
2019-12-31,,,3.41970,2.31630,-5.73600,0.16320,-5.57280,-5.57280,-5.57280,-5.80890,-5.53790,-5.73600,145.19500,145.19500,-0.03000,-0.03000,9.66120,0.00160,0.00330,,,,,,,,,-19.17320,-17.57150,-13.84890,-16.83330,0.20260,-0.0385,-0.0386
2019-09-30,,,2.67140,1.88990,-4.56130,0.15690,-4.40440,-4.40440,-4.40440,-4.56490,-4.37040,-4.56130,156.89000,156.89000,-0.03000,-0.03000,13.06120,0.00160,0.00340,,,,,,,,,-12.97030,-12.01930,-9.82770,-11.57740,0.23340,-0.0228,-0.0231
2019-06-30,0.08980,0.08980,2.82880,1.78170,-4.52070,1.17600,-3.34470,-3.34470,-3.34470,-3.60730,-4.32320,-4.52070,143.10500,143.10500,-0.03000,-0.03000,10.80480,0.00180,0.00370,100.00000,-5033.49300,-5033.49300,-3724.14300,-4016.46000,0.00190,,,-10.85860,-8.55830,-6.93720,-8.26040,0.28030,-0.01,-0.0122
