Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,157.96700,157.96700,15.40200,-12.02300,126.95800,7.97900,134.93700,29.36300,105.57400,105.57400,105.57400,130.54200,126.95800,7.67600,7.68200,13.75000,13.74000,80.37000,80.37000,85.42100,66.83300,0.14640,10.94530,11.18070,9.78150,10.94530,125.65890,14.0364,13.3693
2023-06-30,160.60900,160.60900,13.92500,-22.51100,120.28000,6.87100,127.15100,26.75800,100.39300,100.39300,100.39300,124.17300,120.28000,7.68600,7.69100,13.06000,13.05000,74.89000,74.89000,79.16810,62.50770,0.16040,11.31130,11.31130,10.02600,11.31130,115.58150,10.999,7.8643
2023-03-31,146.36200,146.36200,14.14500,-23.86100,104.95200,5.38900,110.34100,23.77300,86.56800,86.56800,86.56800,108.35600,104.95200,7.69300,7.69800,11.25000,11.24000,71.70710,71.70710,75.38910,59.14650,0.15320,10.44180,10.44180,9.06230,10.44180,107.76690,14.90970,14.68320
2022-12-31,152.70600,152.70600,15.32100,-10.00100,124.23100,3.92200,128.15300,28.42200,99.73100,99.73100,99.73100,127.38400,124.23100,7.72200,7.72700,12.95000,12.94000,81.35310,81.35310,83.92140,65.30920,0.17400,12.90370,12.90370,11.36630,12.90370,100.42710,17.1113,16.2314
2022-09-30,191.11100,191.11100,13.81700,-11.32200,162.05500,1.92000,163.97500,34.13800,129.83700,129.83700,129.83700,165.97200,162.05500,7.71500,7.72000,16.83000,16.82000,84.79630,84.79630,85.80090,67.93800,0.23050,18.00370,18.00370,15.66240,18.00370,93.54910,15.5012,14.6797
2022-06-30,176.27000,176.27000,13.26200,-7.12000,151.70800,0.63000,152.33800,33.44400,118.89400,118.89400,118.89400,155.88800,151.70800,7.73400,7.73700,15.37000,15.37000,86.06570,86.06570,86.42310,67.44990,0.23050,18.42520,18.42520,15.54760,18.42520,83.49910,11.342,10.9462
2022-03-31,147.33500,147.33500,12.35200,-6.54400,124.31300,0.07600,124.38900,26.48900,97.90000,97.90000,97.90000,128.43900,124.31300,7.74100,7.74300,12.65000,12.64000,84.37440,84.37440,84.42600,66.44720,0.17200,13.45010,13.45010,11.42930,13.45010,93.98010,13.91390,13.45650
2021-12-31,147.17800,147.17800,11.51100,-5.11100,125.86100,-0.30000,125.56100,46.51600,79.04500,79.04500,79.04500,130.55600,125.86100,7.75200,7.75200,10.20000,10.20000,85.51620,85.51620,85.31240,53.70710,0.19260,12.12880,12.12880,10.34530,12.12880,84.14600,11.691,11.0452
2021-09-30,123.69300,123.69300,11.38600,-5.20100,103.24000,0.51300,103.75300,19.91600,83.83700,83.83700,83.83700,107.10600,103.24000,7.75100,7.75100,10.82000,10.82000,83.46470,83.46470,83.87940,67.77830,0.17780,13.94860,13.94860,12.05220,13.94860,77.57380,10.0742,9.3619
2021-06-30,95.93200,95.93200,16.11200,-4.69200,71.27000,0.40600,71.67600,14.63000,57.04600,57.04600,57.04600,75.12800,71.27000,7.75600,7.75600,7.36000,7.36000,74.29220,74.29220,74.71540,59.46500,0.15130,10.42550,10.42550,9.00000,10.42550,70.55800,5.6862,5.2965
2021-03-31,84.15500,84.15500,12.78500,-5.51000,62.02200,0.00500,62.02700,11.97500,50.05200,50.05200,50.05200,65.86000,62.02200,7.75600,7.75600,6.45000,6.45000,73.69970,73.69970,73.70570,59.47600,0.13710,9.73900,9.73900,8.15440,9.73900,66.26290,6.75440,6.56760
2020-12-31,74.30300,74.30300,7.39900,-8.05100,55.23100,0.10500,55.33600,10.54600,44.79000,44.79000,44.79000,58.85300,55.23100,7.75600,7.75600,5.77000,5.77000,74.33210,74.33210,74.47340,60.28020,0.13000,9.23160,9.23160,7.83540,9.23160,,5.8249,5.7798
2020-09-30,74.38300,74.38300,9.56100,-4.31400,56.74800,1.28700,58.03500,11.76000,46.27500,46.27500,46.27500,60.50800,56.74800,7.75600,7.75600,5.97000,5.97000,76.29160,76.29160,78.02190,62.21180,0.12370,8.91230,8.91230,7.69730,8.91230,66.94520,7.4434,7.4001
2020-06-30,57.28400,57.28400,11.38500,-7.48100,34.74000,0.18300,34.92300,7.34000,27.58300,27.58300,27.58300,38.41800,34.74000,7.75600,7.75600,3.56000,3.56000,60.64520,60.64520,60.96470,48.15130,0.10350,5.83230,5.83230,4.98250,5.83230,60.97720,4.5757,4.4649
2020-03-31,96.59400,96.59400,13.57900,-9.13800,70.54200,0.82600,71.36800,13.96700,57.40100,57.40100,57.40100,73.87700,70.54200,7.75600,7.75600,7.40000,7.40000,73.02940,73.02940,73.88450,59.42500,0.17740,12.88920,12.88920,10.53910,12.88920,57.41920,8.84980,7.88190
2019-12-31,113.33200,113.33200,14.73800,-6.81400,88.16000,0.91100,89.07100,19.94900,69.12200,69.12200,69.12200,91.78000,88.16000,7.75600,7.75600,8.92000,8.92000,77.78920,77.78920,78.59300,60.99070,0.18950,13.49680,13.49680,11.55550,13.49680,66.03110,7.5512,6.9319
2019-09-30,98.53000,98.53000,11.40100,-10.68000,73.81800,0.94100,74.75900,14.73700,60.02200,60.02200,60.02200,76.44900,73.81800,7.75600,7.75600,7.74000,7.74000,74.91930,74.91930,75.87440,60.91750,0.18880,13.53600,13.53600,11.49860,13.53600,57.17200,8.2842,7.6535
2019-06-30,87.31000,87.31000,9.83600,-13.58100,62.44200,0.43700,62.87900,13.29300,49.58600,49.58600,49.58600,63.89300,62.44200,7.75600,7.75600,6.39000,6.39000,71.51760,71.51760,72.01810,56.79300,0.18830,12.93340,12.93340,10.69560,12.93340,49.43190,7.485,2.2499
2019-03-31,191.32400,191.32400,8.60600,-6.36100,175.15300,0.39300,175.54600,35.54800,139.99800,139.99800,139.99800,176.35700,175.15300,7.76000,7.76000,18.04000,18.04000,91.54780,91.54780,91.75330,73.17330,0.47250,41.94080,41.94080,34.57540,41.94080,43.03750,20.87640,13.60760
2018-12-31,93.20100,93.20100,9.78700,-4.46100,77.88900,0.39000,78.27900,15.59900,62.68000,62.68000,62.68000,78.95300,77.88900,7.78700,7.78700,8.08000,8.08000,83.57100,83.57100,83.98940,67.25250,0.32690,25.61600,25.61600,21.98720,25.61600,31.52420,8.2977,6.4245
2018-09-30,73.16800,73.16800,5.24000,-4.26300,62.95900,0.23600,63.19500,12.43300,50.76200,50.76200,50.76200,63.66500,62.95900,7.78700,7.78700,6.52000,6.52000,86.04720,86.04720,86.36970,69.37730,0.33300,26.02650,26.02650,23.10500,26.02650,25.06300,5.3664,4.2765
