Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,1032.00000,806.00000,226.00000,87.00000,198.00000,285.00000,-59.00000,28.00000,-31.00000,,-31.00000,-31.00000,-31.00000,-35.00000,-59.00000,535.21950,536.53490,-0.06000,-0.09000,2.57840,21.89920,-5.71710,-5.71710,-3.00390,-3.00390,0.56270,8.22450,10.86320,8.28490,-2.69800,-3.07540,-1.69030,-2.69800,2.13350,0.0895,0.0715
2023-06-30,978.00000,770.00000,208.00000,92.00000,196.00000,288.00000,-80.00000,-17.00000,-97.00000,1.00000,-98.00000,-98.00000,-98.00000,-58.00000,-80.00000,529.22630,529.22630,-0.19000,-0.19000,2.49140,21.26790,-8.18000,-8.18000,-9.91820,-10.02050,0.54480,7.19630,8.50430,10.58280,-9.08250,-10.47010,-5.45960,-9.08250,2.02460,0.0954,0.0747
2023-03-31,819.00000,645.00000,174.00000,85.00000,181.00000,266.00000,-92.00000,11.00000,-81.00000,,-81.00000,-81.00000,-81.00000,-72.00000,-92.00000,524.09940,524.87600,-0.15000,-0.16000,2.61710,21.24540,-11.23320,-11.23320,-9.89010,-9.89010,0.45630,5.75890,8.44330,10.65930,-7.37700,-8.49060,-4.51250,-7.37700,2.07730,-0.10480,-0.12380
2022-12-31,769.00000,611.00000,158.00000,79.00000,178.00000,257.00000,-99.00000,1.00000,-98.00000,2.00000,-100.00000,-100.00000,-100.00000,-81.00000,-99.00000,511.75500,512.24310,-0.19000,-0.22000,2.83670,20.54620,-12.87390,-12.87390,-12.74380,-13.00390,0.43670,5.55450,9.98700,9.01170,-9.10750,-10.39500,-5.67860,-9.10750,2.09930,-0.0378,-0.0575
2022-09-30,752.00000,601.00000,151.00000,74.00000,162.00000,236.00000,-85.00000,-17.00000,-102.00000,-4.00000,-98.00000,-98.00000,-98.00000,-67.00000,-85.00000,513.71980,513.71980,-0.19000,-0.19000,3.06780,20.07980,-11.30320,-11.30320,-13.56380,-13.03190,0.43190,6.32630,9.64100,9.33510,-8.75780,-9.98980,-5.62890,-8.75780,2.15710,-0.1332,-0.1545
2022-06-30,675.00000,562.00000,113.00000,67.00000,145.00000,212.00000,-99.00000,45.00000,-54.00000,,-54.00000,-54.00000,-54.00000,-83.00000,-99.00000,509.53240,509.53240,-0.11000,-0.11000,3.25160,16.74070,-14.66670,-14.66670,-8.00000,-8.00000,0.38570,9.06450,9.92650,9.06670,-4.69570,-5.08000,-3.08570,-4.69570,2.23990,-0.0408,-0.0584
2022-03-31,535.00000,446.00000,89.00000,62.00000,128.00000,190.00000,-101.00000,78.00000,-23.00000,,-23.00000,-23.00000,-23.00000,-85.00000,-101.00000,505.37820,507.03720,-0.05000,-0.20000,3.65590,16.63550,-18.87850,-18.87850,-4.29910,-4.29910,0.30850,10.13640,9.55360,9.42060,-2.01220,-2.18220,-1.32640,-2.01220,2.23930,-0.09270,-0.09860
2021-12-31,511.00000,438.00000,73.00000,50.00000,140.00000,190.00000,-117.00000,119.00000,2.00000,1.00000,1.00000,1.00000,1.00000,-99.00000,-117.00000,289.58400,289.58400,0.50000,0.50000,4.21880,14.28570,-22.89630,-22.89630,0.39140,0.19570,0.29450,10.42860,9.29090,9.68690,0.09170,0.09990,0.05760,0.09170,2.15120,-0.131,-0.1297
2021-09-30,486.00000,403.00000,83.00000,40.00000,98.00000,138.00000,-55.00000,-199.00000,-254.00000,,-254.00000,-254.00000,-254.00000,-42.00000,-55.00000,239.35880,239.35880,-1.06000,-1.06000,5.21980,17.07820,-11.31690,-11.31690,-52.26340,-52.26340,0.29330,10.42290,9.21680,9.76480,-25.16160,-27.68250,-15.32660,-25.16160,2.00130,-0.1029,-0.1131
2021-06-30,426.00000,337.00000,89.00000,50.00000,90.00000,140.00000,-51.00000,-88.00000,-139.00000,-4.00000,-135.00000,-135.00000,-135.00000,-40.00000,-51.00000,211.79920,211.79920,-0.64000,-0.64000,,20.89200,-11.97180,-11.97180,-32.62910,-31.69010,,,,,,,,,,0.2651,0.2474
2021-03-31,282.00000,213.00000,69.00000,23.00000,51.00000,74.00000,-5.00000,-94.00000,-99.00000,,-99.00000,-99.00000,-99.00000,4.00000,-5.00000,205.35270,205.35270,-0.48000,-0.48000,,24.46810,-1.77310,-1.77310,-35.10640,-35.10640,,,,,,,,,,-0.02430,-0.06330
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.4319,0.6406
2020-09-30,236.75700,188.43700,48.32000,34.27400,52.69700,86.97100,-38.65100,-23.83000,-62.48100,0.12700,-62.60800,-62.60800,-62.60800,-38.65100,-38.65100,200.57950,200.57950,-0.31000,-0.31000,,20.40910,-16.32520,-16.32520,-26.39040,-26.44400,,,,,,,,,,-0.4319,-0.6406
2019-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
