Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,3.33000,2.70500,,-6.03500,4.80900,-1.22600,,-1.22600,-1.22600,-1.22600,-5.97000,-6.03500,44.25200,44.25200,-0.03000,-0.03000,0.24350,,47.48250,47.48260,-21.57690,47.48260,-0.05700,-0.1169,-0.1173
2023-06-30,2.79400,2.65500,,-5.44900,0.12000,-5.32900,,-5.32900,-5.32900,-5.32900,-5.38200,-5.44900,39.69700,39.69700,-0.13000,-0.13000,0.15770,,137.27440,137.27460,-92.72660,137.27460,-0.09490,-0.1627,-0.1627
2023-03-31,2.92400,2.22700,,-5.15100,0.09200,-5.05900,,-5.05900,-5.05900,-5.05900,-5.08400,-5.15100,36.73500,36.73500,-0.14000,-0.14000,0.28100,,104.52450,104.52480,-64.26580,104.52480,-0.12580,-0.10850,-0.10850
2022-12-31,2.45100,2.46400,,-4.91500,-0.10300,-5.01800,,-5.01800,-5.01800,-5.01800,-4.84500,-4.91500,36.50900,36.50900,-0.13000,-0.13000,0.35300,,166.43440,166.43450,-59.37760,166.43450,-0.08220,-0.1272,-0.1272
2022-09-30,3.77600,3.06500,,-6.84100,-0.01700,-6.85800,,-6.85800,-6.85800,-6.85800,-6.77100,-6.84100,36.49300,36.49300,-0.19000,-0.19000,0.83840,,-494.09300,-494.09240,-51.74290,-494.09220,0.03800,-0.1328,-0.1328
2022-06-30,5.11300,2.47800,,-7.59100,0.55000,-7.04100,,-7.04100,-7.04100,-7.04100,-7.52000,-7.59100,36.48600,36.48600,-0.19000,-0.19000,1.63220,,-89.68310,-89.68280,-37.13410,-89.68280,0.21520,-0.168,-0.1685
2022-03-31,2.61600,2.85900,,-5.47500,0.11500,-5.36000,,-5.36000,-5.36000,-5.36000,-5.40100,-5.47500,36.43700,36.43700,-0.15000,-0.15000,2.61260,,-36.99870,-36.99870,-20.78240,-36.99870,0.39710,-0.10120,-0.10150
2021-12-31,3.67700,2.53500,,-6.21200,0.02200,-6.19000,,-6.19000,-6.19000,-6.19000,-6.14200,-6.21200,36.18200,36.18200,-0.17000,-0.17000,3.68530,,-32.00290,-32.00290,-21.14290,-32.00290,0.53140,-0.1542,-0.1551
2021-09-30,3.61800,1.65900,,-5.27700,-0.05900,-5.33600,,-5.33600,-5.33600,-5.33600,-5.21000,-5.27700,36.30500,36.30500,-0.15000,-0.15000,4.78000,,-21.40740,-21.40740,-15.44970,-21.40740,0.68710,-0.178,-0.1847
2021-06-30,3.59900,2.52200,,-6.12100,-0.14800,-6.26900,,-6.26900,-6.26900,-6.26900,-6.05900,-6.12100,36.31900,36.31900,-0.17000,-0.17000,4.36620,,-20.77760,-20.77750,-14.84310,-20.77750,0.83070,-0.1431,-0.1438
2021-03-31,4.34100,2.58800,,-6.92900,0.26700,-6.66200,,-6.66200,-6.66200,-6.66200,-6.86800,-6.92900,35.79100,35.79100,-0.19000,-0.19000,5.00920,,-18.40280,-18.40280,-13.71600,-18.40280,0.99680,-0.25060,-0.25140
2020-12-31,8.82000,2.67100,,-11.49100,-0.33000,-11.81500,,-11.81500,-11.81500,-11.81500,-11.42700,-11.49100,29.84800,29.84800,-0.36000,-0.36000,3.84960,,-33.31550,-33.31550,-23.04960,-33.31550,1.00860,-0.2927,-0.3006
2020-09-30,1.86700,2.61800,,-4.48500,0.00300,-4.48800,,-4.48800,-4.48800,-4.48800,-4.42900,-4.48500,31.15400,31.15400,-0.14000,-0.14000,4.71880,,-17.27620,-17.27620,-13.72860,-17.27620,0.82290,-0.1796,-0.1823
2020-06-30,5.69400,1.70600,,-7.40000,0.00600,-7.39400,,-7.39400,-7.39400,-7.39400,-7.35000,-7.40000,29.27400,29.27400,-0.25000,-0.25000,1.88100,,-75.28010,-75.28000,-38.46830,-75.28000,0.33070,-0.1781,-0.1798
2020-03-31,5.94800,2.36000,,-8.30800,0.19400,-8.11400,,-8.11400,-8.11400,-8.11400,-8.25900,-8.30800,28.42400,28.42400,-0.32000,-0.32000,1.84260,,-90.04550,-90.04550,-44.90070,-90.04550,0.31700,-0.52870,-0.52900
2019-12-31,6.18600,1.47900,,-7.66500,-0.02700,-7.69200,,-7.69200,-7.69200,-7.69200,-7.61500,-7.66500,21.90600,21.90600,-0.34000,-0.34000,0.19030,,62.93050,62.93050,-117.72270,62.93050,-0.52740,-0.1553,-0.1712
2019-09-30,4.00800,1.54300,,-5.55100,-0.08300,-5.63400,,-5.63400,-5.63400,-5.63400,-5.51400,-5.55100,22.25500,22.25500,-0.25000,-0.25000,0.39070,,83.13410,83.13410,-72.12900,83.13410,-0.29980,-0.158,-0.1625
2019-06-30,3.55400,1.30300,,-4.85700,-0.04300,-4.90000,,-4.90000,-4.90000,-4.90000,-4.82400,-4.85700,21.70300,21.70300,-0.23000,-0.23000,0.52500,,108.50310,108.50310,-55.27980,108.50310,-0.20800,-0.1602,-0.1612
2019-03-31,3.45600,1.47200,,-4.92800,-0.09900,-5.02700,,-5.02700,-5.02700,-5.02700,-4.88400,-4.92800,20.91700,20.91700,-0.24000,-0.24000,0.97370,,-1542.04600,-1542.02300,-42.41840,-1542.02500,0.01520,-0.03990,-0.04010
2018-12-31,3.86000,1.57700,,-5.43700,0.05400,-5.38300,,-5.38300,-5.38300,-5.38300,-5.41600,-5.43700,19.99800,19.99800,-0.27000,-0.27000,1.65330,,-107.31650,-107.31660,-47.94260,-107.31660,0.24160,-0.2007,-0.2065
2018-09-30,1.97500,1.25700,,-3.23200,0.05600,-3.17600,,-3.17600,-3.17600,-3.17600,-3.19900,-3.23200,20.69200,20.69200,-0.15000,-0.15000,3.32920,,-31.83000,-31.83000,-23.06630,-31.83000,0.48200,-0.3126,-0.3119
2018-06-30,1.48100,1.60600,,-3.08700,-0.00400,-3.09100,,-3.09100,-3.09100,-3.09100,-3.05600,-3.08700,19.50500,19.50500,-0.16000,-0.16000,2.40130,,-24.01150,-24.01150,-14.70500,-24.01150,0.62280,0.0054,-0.0055
2018-03-31,0.97700,1.33000,,-2.30700,0.00900,-2.29800,,-2.29800,-2.29800,-2.29800,-2.28200,-2.30700,19.04700,19.04700,-0.12000,-0.12000,1.40980,,-59.93740,-59.93740,-24.41310,-59.93740,0.20060,-0.11160,-0.11400
2017-12-31,-1.56700,1.32900,,0.23800,0.03800,0.27600,,0.27600,0.27600,0.27600,0.26600,0.23800,18.77700,18.77700,0.03000,0.03000,1.73610,,4.69390,4.69390,2.41620,4.69390,0.30990,-0.1563,-0.1596
2017-09-30,1.16800,1.22400,,-2.39200,-0.01100,-2.40300,,-2.40300,-2.40300,-2.40300,-2.36900,-2.39200,18.78400,18.78400,-0.13000,-0.13000,1.78360,,-46.25600,-46.25600,-21.19980,-46.25600,0.27570,0.205,0.2004
2017-06-30,0.43500,0.64000,,-1.07500,0.03500,-1.04000,,-1.04000,-1.04000,-1.04000,-1.05700,-1.07500,18.73850,18.73850,-0.06000,-0.06000,10.80450,,-14.26610,-14.26610,-12.99840,-14.26610,0.38890,-0.0867,-0.0884
2017-03-31,0.94100,0.82900,,-1.77000,-0.01500,-1.78500,,-1.78500,-1.78500,-1.78500,-1.75400,-1.77000,18.68800,18.68800,-0.10000,-0.10000,11.05830,,-21.65470,-21.65470,-19.76310,-21.65470,0.44080,-0.08790,-0.08790
2016-12-31,0.32300,0.32700,,-0.65000,0.02600,-0.62400,,-0.62400,-0.62400,-0.62400,-0.62900,-0.65000,18.66320,18.66320,-0.03000,-0.03000,12.08800,,-6.30180,-6.30180,-5.79600,-6.30180,0.52990,-0.064,-0.0644
2016-09-30,0.79000,0.84800,,-1.63800,0.03200,-1.60600,,-1.60600,-1.60600,-1.60600,-1.45000,-1.63800,18.65700,18.65700,-0.09000,-0.09000,9.52720,,-15.25600,-15.25600,-13.70070,-15.25600,0.56330,-0.0147,-0.0153
2016-06-30,0.15100,0.83200,,-0.98300,0.02100,-0.96200,,-0.96200,-0.96200,-0.96200,-0.69900,-0.98300,18.65400,18.65400,-0.05000,-0.05000,9.99450,,-8.10310,-8.10310,-7.31340,-8.10310,0.63640,-0.0754,-0.0785
2016-03-31,0.98600,0.82600,,-1.81200,0.02200,-1.79000,,-1.79000,-1.79000,-1.79000,-1.59300,-1.81200,18.65400,18.65400,-0.10000,-0.10000,10.87760,,-14.23800,-14.23800,-12.95790,-14.23800,0.67400,-0.15980,-0.16120
