Ticker,RS,Volume SMA 5,Volume SMA 20,Volume SMA 5 Rank,Volume SMA 20 Rank
ROOT,99.44099378881988,166380.0,227860.0,3427.0,3237.0
BBLGW,99.42546583850933,0.0,0.0,6390.5,6423.5
TPST,99.40993788819877,299300.0,363980.0,2816.0,2764.0
ESGL,99.3944099378882,13280.0,24240.0,5528.0,5202.0
AEYE,99.37888198757764,132980.0,132840.0,3675.0,3778.0
SHCRW,99.36335403726709,26100.0,14690.0,5091.0,5542.5
RAIL,99.34782608695653,358760.0,440915.0,2615.0,2536.0
AKA,99.32453416149069,6760.0,10255.0,5843.0,5762.0
PLSE,99.32453416149069,139620.0,164610.0,3628.0,3564.0
PI,99.30124223602485,424860.0,746620.0,2411.0,1912.0
AVAH,99.28571428571429,509940.0,402645.0,2201.0,2648.0
FTAI,99.26242236024845,1189480.0,1146490.0,1280.0,1436.0
CAVA,99.26242236024845,2429540.0,2658380.0,694.0,674.0
CPOP,99.23913043478261,117840.0,56030.0,3781.0,4540.0
REAX,99.21583850931677,484660.0,607880.0,2262.0,2146.0
INSG,99.21583850931677,170980.0,217410.0,3389.5,3283.0
VST,99.19254658385093,8709860.0,8352590.0,194.0,199.0
SERA,99.16149068322981,259020.0,139080.0,2955.0,3720.0
PSNL,99.16149068322981,623240.0,856955.0,1997.0,1744.0
SLNHP,99.16149068322981,1400.0,3970.0,6195.0,6114.5
RZLT,99.11490683229813,370160.0,499075.0,2577.0,2373.0
TENK,99.11490683229813,134720.2,153486.95,3658.0,3627.0
TREE,99.11490683229813,135140.0,148670.0,3653.0,3657.0
SPRY,99.08385093167702,1086400.0,1028080.0,1363.0,1544.0
CRVS,99.06832298136646,252540.0,503775.0,2983.0,2360.0
BVS,99.0527950310559,563720.0,535785.0,2102.0,2285.0
ADCT,99.03726708074534,234700.0,360050.0,3068.0,2777.0
MESO,99.02173913043478,255180.0,132095.0,2973.0,3785.0
ZETA,98.99844720496894,2654200.0,3740275.0,629.0,495.0
WULF,98.99844720496894,17150580.0,19467375.0,78.0,62.0
DOGZ,98.9751552795031,318920.0,174910.0,2747.0,3497.0
OSCR,98.95962732919254,2583420.0,3334220.0,648.0,544.0
WLFC,98.94409937888199,25600.0,27855.0,5103.5,5108.0
JVA,98.92857142857143,80680.0,175825.0,4155.0,3488.0
MREO,98.91304347826086,758220.0,840300.0,1779.0,1771.0
TPC,98.8975155279503,413940.0,417805.0,2442.0,2600.0
CORZ,98.88198757763975,7302800.0,11280740.0,234.0,141.0
LEXX,98.8586956521739,94020.0,103055.0,4011.5,3990.0
AQST,98.8586956521739,1681740.0,1333540.0,978.0,1276.0
CDE,98.83540372670807,6039840.0,9262780.0,297.0,175.0
NNE,98.81987577639751,4732080.0,3844230.0,369.0,481.0
BMA,98.79658385093167,222880.0,291715.0,3115.0,3004.0
RCAT,98.79658385093167,2116100.0,1711080.0,786.0,1044.0
BNTC,98.76552795031056,57280.0,29710.0,4469.0,5045.0
SUPV,98.76552795031056,1060800.0,1180840.0,1383.0,1405.0
CLOV,98.73447204968943,7929800.0,6652640.0,212.0,265.0
APLT,98.73447204968943,2357460.0,5251715.0,708.0,352.0
GGAL,98.70341614906832,666020.0,913715.0,1917.0,1678.0
KYMR,98.70341614906832,419660.0,459155.0,2423.0,2487.0
STOK,98.6723602484472,748860.0,748340.0,1788.0,1910.0
HROW,98.6723602484472,342240.0,349080.0,2673.0,2812.0
NOVV,98.64906832298136,0.0,10530.0,6390.5,5750.0
YRD,98.63354037267081,846000.0,261195.0,1644.0,3123.0
VERA,98.6024844720497,704960.0,679405.0,1853.0,2029.0
APP,98.6024844720497,3164560.0,5434095.0,534.0,335.0
VITL,98.6024844720497,1031680.0,992695.0,1412.0,1581.0
BYSI,98.57142857142858,45940.0,31605.0,4667.0,4997.0
CCCC,98.54813664596274,745940.0,1258390.0,1794.0,1333.0
USAP,98.54813664596274,89940.0,100680.0,4055.0,4021.0
NKTX,98.5248447204969,504560.0,497510.0,2215.0,2377.0
ARQ,98.50931677018635,276080.0,361050.0,2902.0,2771.0
ASPN,98.4860248447205,2344540.0,1776110.0,712.0,1013.0
OCUL,98.4860248447205,1516240.0,1224825.0,1051.0,1366.0
CRBP,98.46273291925466,953340.0,1339475.0,1499.0,1272.0
IPW,98.4472049689441,784000.0,494700.0,1733.0,2384.0
GATO,98.43167701863355,1252520.0,1466730.0,1226.0,1190.0
IESC,98.40838509316771,117220.0,142460.0,3787.5,3697.0
PRM,98.40838509316771,793360.0,681315.0,1721.0,2026.0
NRIX,98.37732919254658,571160.0,601650.0,2087.0,2154.0
AMSC,98.37732919254658,1071560.0,1210430.0,1373.0,1378.0
ASPI,98.35403726708074,712020.0,878350.0,1839.0,1719.0
NTRA,98.32298136645963,1246060.0,1147960.0,1234.0,1434.0
EVER,98.32298136645963,311460.0,402700.0,2772.0,2647.0
APEI,98.32298136645963,162460.0,132405.0,3448.0,3782.0
ANNX,98.27639751552795,1112760.0,1523665.0,1335.0,1144.0
HMY,98.27639751552795,3194300.0,4140605.0,531.0,452.0
CREX,98.27639751552795,48500.0,33565.0,4618.5,4956.0
PNTG,98.21428571428571,404720.0,268465.0,2473.0,3088.0
HIMS,98.21428571428571,6773620.0,6560630.0,258.0,271.0
PPTA,98.21428571428571,693540.0,631110.0,1868.0,2105.0
SNDA,98.21428571428571,39840.0,75985.0,4781.0,4286.0
ABSI,98.21428571428571,763700.0,943800.0,1768.0,1645.0
FIP,98.15993788819875,1003940.0,1159695.0,1443.0,1426.0
SG,98.15993788819875,2749200.0,3188115.0,607.0,566.0
GCT,98.13664596273291,2938940.0,1954720.0,568.0,933.0
EBS,98.12111801242236,3150680.0,2214830.0,536.0,808.0
MOD,98.09782608695652,584440.0,700705.0,2065.0,1993.0
CNTA,98.09782608695652,689940.0,1092675.0,1875.0,1470.0
INSM,98.07453416149067,1514260.0,1869235.0,1052.0,968.0
CRVO,98.05900621118012,93720.0,102470.0,4016.0,4000.0
ALAR,98.027950310559,149700.0,208205.0,3557.0,3324.0
AXGN,98.027950310559,388760.0,447925.0,2510.0,2518.0
COHR,98.027950310559,2580400.0,2613570.0,649.0,693.0
HNST,97.99689440993788,1107020.0,1167640.0,1343.0,1418.0
POWL,97.97360248447204,437840.0,407165.0,2379.0,2629.0
CURI,97.97360248447204,146240.0,275675.0,3584.0,3061.0
SMLP,97.95031055900621,61215.8,113737.65,4403.0,3906.0
APGE,97.92701863354037,356400.0,479200.0,2629.0,2422.0
PTGX,97.92701863354037,596540.0,764340.0,2044.0,1878.0
NMM,97.88043478260869,179280.0,274525.0,3339.0,3068.0
BLND,97.88043478260869,2352820.0,2910400.0,710.0,621.0
TGTX,97.88043478260869,2203100.0,4664820.0,759.0,396.0
SMR,97.88043478260869,6601140.0,5750605.0,262.0,313.0
TMDX,97.84161490683229,2714260.0,1431110.0,614.0,1211.5
SLDB,97.81832298136646,171020.0,209990.0,3388.0,3311.0
OPT,97.81832298136646,63360.0,30725.0,4382.5,5019.0
ENTX,97.78726708074534,34200.0,37785.0,4896.0,4862.0
CDRO,97.78726708074534,46720.0,66620.0,4649.5,4402.0
VRT,97.75621118012423,6327720.0,7237095.0,275.0,246.0
TLSIW,97.75621118012423,680.0,325.0,6249.0,6349.0
IMPP,97.71739130434783,379240.0,244180.0,2546.0,3183.0
ELUT,97.71739130434783,18480.0,43120.0,5332.5,4745.0
NVDA,97.71739130434783,264548380.0,297259085.0,1.0,1.0
IAG,97.67080745341616,7863740.0,7863185.0,214.0,224.0
SFM,97.67080745341616,1029320.0,1203650.0,1414.0,1385.0
YMAB,97.67080745341616,194060.0,274265.0,3247.5,3070.0
ARM,97.63975155279503,5064100.0,6500260.0,346.0,274.0
NGNE,97.62422360248448,163640.0,129385.0,3441.0,3802.0
SGRP,97.60093167701864,112660.0,160250.0,3824.0,3586.0
TISI,97.60093167701864,13320.0,17400.0,5525.5,5436.0
NMRK,97.56987577639752,1728320.0,1503020.0,948.0,1161.0
AIHS,97.56987577639752,83360.0,177615.0,4117.0,3477.0
EAT,97.54658385093168,946820.0,1207035.0,1508.0,1381.0
CEG,97.5,3196540.0,4020205.0,530.0,467.0
LMB,97.5,92120.0,143165.0,4030.5,3692.0
BBAR,97.5,502640.0,735870.0,2220.0,1932.0
ERJ,97.5,1222580.0,1615405.0,1255.0,1089.0
MOR,97.5,0.0,16390.0,6390.5,5479.0
VHI,97.45341614906833,20400.0,23295.0,5265.0,5236.0
JG,97.4223602484472,33340.0,14930.0,4918.0,5532.0
SWIM,97.4223602484472,482920.0,492220.0,2266.0,2389.0
FENG,97.4223602484472,37180.0,16285.0,4827.0,5485.0
RYAM,97.3913043478261,581620.0,557525.0,2072.0,2246.0
IPX,97.3524844720497,54200.0,37060.0,4521.0,4883.0
RDNT,97.3524844720497,487340.0,682880.0,2257.0,2024.0
ALT,97.3524844720497,2619160.0,2515570.0,639.0,714.0
NRG,97.3524844720497,2980400.0,2706565.0,562.0,667.0
CMCM,97.29037267080746,100400.0,37520.0,3942.0,4867.0
QTWO,97.29037267080746,586780.0,519255.0,2063.0,2325.0
THC,97.29037267080746,895800.0,1160610.0,1572.0,1422.0
